ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
RL,-,0.23974,0.29956,-,-,0.25007,0.30814,-,-,0.24415,0.30354,-
RSU,-,0.07295,0.10184,-,-,0.08033,0.10772,-,-,0.07559,0.10435,-
RS,-,0.06494,0.0973,-,-,0.07173,0.10296,-,-,0.06734,0.09972,-


29
R4,0.0,0.0081,0.01134,-,0.0,0.00935,0.0116,-,0.0,0.00841,0.01146,-
RW,0.08997,0.09617,0.11053,-,0.14327,0.19052,0.19315,-,0.11042,0.12456,0.14026,-
R1,0.1698,0.25475,0.3208,-,0.17459,0.29886,0.33699,-,0.17207,0.26729,0.32793,-
R2,0.0267,0.05701,0.06499,-,0.02724,0.06955,0.06759,-,0.02696,0.06036,0.06616,-
R3,0.00103,0.01913,0.02348,-,0.00103,0.0235,0.02411,-,0.00103,0.02027,0.02378,-
RL,0.14606,0.22222,0.29494,-,0.15015,0.26122,0.30947,-,0.148,0.23338,0.30136,-
RSU,0.04195,0.06474,0.09238,-,0.0442,0.08788,0.10145,-,0.04296,0.06849,0.09593,-
RS,0.01675,0.0574,0.08791,-,0.01768,0.07695,0.09656,-,0.01717,0.06054,0.0913,-


3
R4,-,0.00978,0.01633,-,-,0.01025,0.01697,-,-,0.00998,0.01663,-
RW,-,0.10206,0.11426,-,-,0.18095,0.19788,-,-,0.12996,0.14478,-
R1,-,0.269,0.33395,-,-,0.28695,0.34708,-,-,0.27651,0.34014,-
R2,-,0.0622,0.07787,-,-,0.06583,0.08079,-,-,0.06373,0.07924,-
R3,-,0.02144,0.03077,-,-,0.02259,0.03194,-,-,0.02192,0.03132,-
RL,-,0.23362,0.30539,-,-,0.24848,0.31736,-,-,0.23987,0.31104,-
RSU,-,0.06919,0.10427,-,-,0.07783,0.11267,-,-,0.07216,0.108,-
RS,-,0.06143,0.09979,-,-,0.06899,0.1079,-,-,0.06401,0.10339,-
