ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RW,0.09983,0.11631,0.12958,0.15316,0.15069,0.15368,0.14103,0.12078,0.11984,0.13229,0.13493,0.13492
R1,0.27213,0.34821,0.4227,0.5266,0.24229,0.26678,0.26224,0.2304,0.25604,0.30197,0.32355,0.32036
R2,0.05434,0.06921,0.08952,0.1432,0.049,0.05295,0.05551,0.0626,0.05147,0.05996,0.0685,0.08706
R3,0.01674,0.02056,0.02861,0.05586,0.01534,0.01573,0.01787,0.02446,0.01599,0.01781,0.02198,0.034
RL,0.23051,0.3108,0.38403,0.49119,0.20524,0.23814,0.23816,0.21494,0.21688,0.26954,0.29388,0.29885
RSU,0.07379,0.11556,0.16473,0.24666,0.05965,0.07086,0.07472,0.06691,0.06567,0.0877,0.10266,0.1051
RS,0.06501,0.10991,0.16131,0.24446,0.05245,0.06708,0.07292,0.06612,0.05778,0.08316,0.10029,0.10393


R
R4,0.01504,0.0154,0.01664,0.01572,0.01794,0.01315,0.01099,0.01194,0.01599,0.01412,0.0132,0.01336
RW,0.10112,0.11392,0.12417,0.10958,0.16824,0.16498,0.15314,0.15563,0.12415,0.13397,0.13609,0.12533
R1,0.25942,0.33525,0.39771,0.37423,0.25506,0.28055,0.27927,0.29392,0.25303,0.30359,0.32569,0.32054
R2,0.0567,0.06891,0.09116,0.08957,0.05892,0.05862,0.06299,0.07021,0.0567,0.06285,0.07399,0.07673
R3,0.02402,0.02588,0.03148,0.03036,0.02666,0.02216,0.02112,0.02313,0.02474,0.02372,0.02517,0.02575
RL,0.23051,0.3023,0.36832,0.34979,0.22614,0.25319,0.25862,0.27465,0.22462,0.27386,0.30164,0.29961
RSU,0.07,0.10798,0.146,0.12503,0.07098,0.07895,0.08352,0.10262,0.06598,0.08906,0.10337,0.10271
RS,0.06153,0.10246,0.14267,0.12307,0.06246,0.0746,0.08133,0.10078,0.05789,0.08428,0.10076,0.10094


S
R4,0.01451,0.01567,0.02197,0.02918,0.02144,0.01475,0.01413,0.01317,0.01725,0.01514,0.0172,0.01814
RW,0.07861,0.10326,0.1284,0.14856,0.17118,0.1598,0.14616,0.11901,0.1065,0.12482,0.13653,0.13201
R1,0.21122,0.30459,0.41764,0.51324,0.26889,0.2723,0.27079,0.22811,0.23361,0.28607,0.3283,0.31567
R2,0.04402,0.06447,0.09645,0.13225,0.05903,0.05815,0.0624,0.0589,0.04982,0.06086,0.07572,0.08145
R3,0.0195,0.02577,0.03735,0.05089,0.02756,0.02366,0.02409,0.0228,0.02265,0.02456,0.02927,0.03147
RL,0.17514,0.27,0.38064,0.47842,0.2229,0.24138,0.24682,0.21269,0.19367,0.25359,0.29923,0.29431
RSU,0.04872,0.08744,0.15616,0.22999,0.08137,0.07281,0.0773,0.06436,0.05829,0.07796,0.10312,0.10043
RS,0.04144,0.08217,0.1527,0.22776,0.07018,0.06822,0.07536,0.06356,0.04973,0.07313,0.10063,0.09924


T
R4,0.0161,0.01549,0.02056,0.02923,0.01562,0.01319,0.01433,0.01447,0.01585,0.01424,0.01687,0.01933
RW,0.10698,0.11675,0.12988,0.14795,0.17688,0.17084,0.15595,0.13106,0.13304,0.13856,0.1416,0.1387
R1,0.27799,0.3395,0.41094,0.50359,0.27115,0.28816,0.28138,0.24792,0.27417,0.31156,0.33388,0.33182
R2,0.06742,0.07818,0.10107,0.13773,0.06562,0.06621,0.06914,0.06769,0.06644,0.07166,0.08206,0.09065
R3,0.0272,0.02925,0.03822,0.05292,0.0263,0.0248,0.02631,0.02599,0.02673,0.02683,0.03114,0.03482
RL,0.24485,0.30785,0.38204,0.47449,0.23852,0.26122,0.26161,0.23354,0.24134,0.28247,0.31041,0.3126
RSU,0.0799,0.10775,0.15503,0.22284,0.07562,0.081,0.08532,0.0762,0.07738,0.09229,0.10989,0.11309
RS,0.07098,0.10215,0.15163,0.22063,0.06696,0.07658,0.08323,0.07526,0.06863,0.08735,0.10729,0.11177


U
