ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00478,0.0045,0.00663,0.01037,0.00412,0.00394,0.00572,0.0095,0.00443,0.0042,0.00614,0.00988
RW,0.09171,0.0993,0.10627,0.10697,0.13883,0.15059,0.15997,0.17368,0.11031,0.1196,0.12766,0.13172
R1,0.25679,0.30332,0.35411,0.39949,0.22418,0.26358,0.30601,0.37211,0.23927,0.28197,0.32827,0.3831
R2,0.04357,0.04771,0.06202,0.07987,0.03807,0.04149,0.05353,0.07447,0.04062,0.04437,0.05746,0.07665
R3,0.0138,0.01324,0.01548,0.02226,0.012,0.01155,0.01336,0.02054,0.01283,0.01233,0.01434,0.02126
RL,0.21747,0.27274,0.33122,0.37923,0.18966,0.23693,0.28621,0.35322,0.20252,0.2535,0.30704,0.36366
RSU,0.06742,0.08828,0.12171,0.15769,0.05195,0.06691,0.09107,0.13746,0.05859,0.07603,0.10413,0.1436
RS,0.05902,0.08348,0.11909,0.15633,0.04529,0.06309,0.08898,0.13621,0.05117,0.07178,0.1018,0.14231


2
R4,0.03203,0.02916,0.02535,0.03043,0.0274,0.02495,0.02203,0.03733,0.02953,0.02688,0.02357,0.03301
RW,0.11498,0.11636,0.123,0.10662,0.17217,0.17508,0.18521,0.22575,0.13776,0.13974,0.14774,0.1431
R1,0.31024,0.34985,0.4117,0.39368,0.26854,0.30189,0.35596,0.47741,0.2878,0.32401,0.38167,0.42562
R2,0.08903,0.08853,0.10209,0.11352,0.07688,0.07631,0.08839,0.13787,0.08248,0.08194,0.09471,0.12278
R3,0.04593,0.04346,0.04302,0.05033,0.03942,0.03732,0.03731,0.06125,0.04242,0.04014,0.03995,0.05445
RL,0.26313,0.314,0.37942,0.36995,0.22784,0.27097,0.32805,0.44905,0.24415,0.29082,0.35175,0.40012
RSU,0.10139,0.12125,0.1606,0.15124,0.07617,0.09039,0.12027,0.21688,0.08689,0.10345,0.13737,0.16923
RS,0.09207,0.11616,0.15777,0.14988,0.06875,0.08632,0.11797,0.21502,0.07863,0.09892,0.13483,0.16769


L
R4,0.0106,0.01781,0.02258,0.03254,0.01004,0.01588,0.01997,0.02854,0.01028,0.01679,0.02119,0.03041
RW,0.09003,0.10846,0.12069,0.13045,0.15321,0.16845,0.1848,0.19984,0.11276,0.13187,0.14597,0.15782
R1,0.24904,0.32976,0.3986,0.47826,0.2463,0.29311,0.35,0.4198,0.24624,0.3102,0.37265,0.44706
R2,0.04898,0.0713,0.09681,0.13515,0.04868,0.06321,0.08516,0.11855,0.04851,0.06698,0.09059,0.12629
R3,0.01732,0.02829,0.03799,0.0551,0.01684,0.02517,0.03351,0.0483,0.017,0.02663,0.0356,0.05147
RL,0.20835,0.29253,0.37,0.45252,0.20532,0.26005,0.32489,0.3972,0.20571,0.2752,0.34591,0.42299
RSU,0.06488,0.10601,0.15191,0.21642,0.06368,0.08405,0.11756,0.16707,0.06282,0.09358,0.13245,0.18846
RS,0.05668,0.101,0.14913,0.21495,0.0554,0.07989,0.11527,0.16582,0.05473,0.08904,0.12994,0.1871


M
R4,0.01066,0.01206,0.01256,0.02706,0.00944,0.01029,0.0114,0.02518,0.01001,0.0111,0.01194,0.02607
RW,0.0938,0.10388,0.10928,0.12397,0.14202,0.15855,0.17099,0.20059,0.11284,0.12542,0.1332,0.15317
R1,0.25871,0.31584,0.36949,0.45779,0.22607,0.27655,0.3319,0.42497,0.24111,0.2947,0.34937,0.4406
R2,0.04826,0.05666,0.07365,0.12182,0.04209,0.04938,0.06646,0.11325,0.04494,0.05274,0.06981,0.11733
R3,0.01723,0.02126,0.02412,0.0468,0.01518,0.01829,0.02187,0.0436,0.01614,0.01966,0.02292,0.04513
RL,0.22037,0.28357,0.34073,0.43205,0.19264,0.24824,0.30611,0.40109,0.20542,0.26457,0.3222,0.41584
RSU,0.06755,0.09451,0.12791,0.1989,0.05208,0.07236,0.10385,0.17165,0.05867,0.08178,0.11422,0.18399
RS,0.05907,0.08954,0.12519,0.19744,0.04534,0.06834,0.10154,0.17032,0.05117,0.07733,0.11172,0.1826


N
R4,0.00776,0.01168,0.02072,0.03201,0.00599,0.00919,0.01647,0.02552,0.00676,0.01028,0.01835,0.02839
RW,0.09682,0.10739,0.12043,0.13056,0.1308,0.14834,0.16608,0.18156,0.11117,0.12449,0.13955,0.15183
R1,0.27996,0.33117,0.40617,0.48439,0.21871,0.26196,0.32146,0.38629,0.24548,0.29241,0.35881,0.42973
R2,0.05497,0.06454,0.09717,0.13482,0.04266,0.05098,0.07692,0.10746,0.04802,0.05694,0.08585,0.11957
R3,0.01745,0.02182,0.03731,0.05478,0.01348,0.0172,0.02962,0.04365,0.0152,0.01923,0.03302,0.04857
RL,0.22803,0.29346,0.37294,0.45548,0.1781,0.23203,0.29511,0.36319,0.19992,0.25905,0.32943,0.40405
RSU,0.07397,0.10573,0.15398,0.22231,0.0456,0.06639,0.0968,0.14168,0.05634,0.08145,0.11879,0.17294
RS,0.06479,0.10071,0.15113,0.22084,0.0396,0.06295,0.0948,0.14059,0.04908,0.07736,0.11643,0.17168


O
R4,0.01345,0.01173,0.01208,0.02186,0.01169,0.01013,0.01046,0.02066,0.0125,0.01087,0.0112,0.02092
RW,0.09736,0.10587,0.11381,0.11973,0.14664,0.15928,0.17545,0.19347,0.11689,0.12712,0.13756,0.14597
R1,0.26538,0.32139,0.38238,0.44247,0.23004,0.27681,0.33838,0.40877,0.24635,0.29736,0.3576,0.41841
R2,0.05191,0.05866,0.07775,0.10904,0.04487,0.05047,0.06855,0.10146,0.04812,0.05425,0.07261,0.10345
R3,0.02061,0.02057,0.02477,0.03926,0.01787,0.01773,0.02167,0.03671,0.01914,0.01904,0.02307,0.03737
RL,0.2289,0.29102,0.35499,0.41736,0.19844,0.25058,0.31387,0.38545,0.2125,0.26922,0.33186,0.3946
RSU,0.07398,0.09834,0.14116,0.19409,0.05585,0.07306,0.10993,0.16221,0.06355,0.08376,0.12195,0.16954
RS,0.06551,0.09337,0.13844,0.19269,0.04917,0.06916,0.1076,0.16079,0.05609,0.07938,0.11948,0.16822


P
R4,0.00694,0.01299,0.01905,0.0326,0.00626,0.01129,0.01637,0.02793,0.00658,0.01208,0.0176,0.03008
RW,0.09564,0.11151,0.12091,0.13321,0.14804,0.16779,0.18018,0.19943,0.11602,0.1339,0.14464,0.15969
R1,0.27119,0.34429,0.40354,0.4901,0.2425,0.2968,0.34515,0.42054,0.25578,0.31868,0.37198,0.4526
R2,0.05387,0.07286,0.09195,0.13777,0.04871,0.06282,0.07866,0.11809,0.05111,0.06744,0.08476,0.12716
R3,0.01789,0.02486,0.03388,0.05687,0.01623,0.02151,0.02905,0.04872,0.017,0.02306,0.03127,0.05248
RL,0.2254,0.30748,0.37262,0.46214,0.20148,0.26507,0.31874,0.39658,0.21255,0.28461,0.34349,0.4268
RSU,0.07503,0.11443,0.15602,0.22985,0.06109,0.08532,0.11449,0.16967,0.06709,0.09762,0.13194,0.19512
RS,0.06636,0.10928,0.15323,0.22839,0.05391,0.08124,0.11226,0.16846,0.05926,0.09307,0.12946,0.19379


R
R4,0.0143,0.01223,0.01841,0.01808,0.01766,0.01166,0.0171,0.02623,0.01544,0.01185,0.01769,0.0211
RW,0.09431,0.10615,0.11377,0.0884,0.16158,0.17436,0.19176,0.23514,0.11743,0.13124,0.14197,0.12614
R1,0.25357,0.32351,0.3828,0.32423,0.25097,0.30417,0.37002,0.49293,0.24851,0.31157,0.37392,0.38243
R2,0.05248,0.06371,0.09063,0.085,0.05545,0.06097,0.08662,0.12935,0.05293,0.06178,0.0881,0.10041
R3,0.02191,0.02142,0.0324,0.0316,0.02478,0.02051,0.03033,0.04671,0.02277,0.02078,0.03122,0.03704
RL,0.22012,0.29239,0.35392,0.30567,0.21716,0.27514,0.34191,0.46416,0.21543,0.28171,0.34563,0.36042
RSU,0.06843,0.10152,0.13978,0.10607,0.07081,0.09015,0.12901,0.23065,0.06544,0.09317,0.13109,0.13546
