ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RW,-,0.128,0.13655,0.11694,-,0.11967,0.13394,0.18421,-,0.12291,0.13401,0.13973
R1,-,0.35529,0.42169,0.39771,-,0.1962,0.24113,0.35979,-,0.25135,0.30424,0.36844
R2,-,0.06584,0.09001,0.0946,-,0.03613,0.05073,0.08527,-,0.04637,0.06436,0.08762
R3,-,0.02341,0.03039,0.03342,-,0.01294,0.01666,0.02957,-,0.01657,0.02142,0.03081
RL,-,0.31125,0.3846,0.37071,-,0.17213,0.22,0.33508,-,0.22038,0.27755,0.3433
RSU,-,0.12522,0.1768,0.1587,-,0.03877,0.05807,0.12609,-,0.05803,0.08461,0.12841
RS,-,0.11629,0.17209,0.15639,-,0.03536,0.05601,0.12386,-,0.05315,0.08176,0.12625


S
R4,-,0.00803,0.02431,0.03317,-,0.00447,0.01251,0.01692,-,0.00573,0.01651,0.02241
RW,-,0.11676,0.14265,0.15626,-,0.11677,0.12871,0.13844,-,0.11612,0.13507,0.14677
R1,-,0.32739,0.44437,0.53562,-,0.19316,0.23414,0.27294,-,0.24175,0.3063,0.36156
R2,-,0.05803,0.10113,0.13906,-,0.03377,0.05305,0.07086,-,0.04247,0.06951,0.09387
R3,-,0.02057,0.04029,0.05582,-,0.0118,0.02088,0.02848,-,0.01492,0.02749,0.03771
RL,-,0.28409,0.40133,0.49579,-,0.16785,0.21134,0.25273,-,0.20995,0.27653,0.33475
RSU,-,0.10562,0.18643,0.27107,-,0.03665,0.05251,0.07071,-,0.05354,0.08152,0.11211
RS,-,0.09702,0.18148,0.26851,-,0.03303,0.05068,0.06972,-,0.04849,0.07882,0.11065


T
R4,-,0.01808,0.01815,0.03095,-,0.01004,0.01008,0.0173,-,0.01288,0.01294,0.02219
RW,-,0.1363,0.14534,0.15538,-,0.12935,0.13852,0.1525,-,0.13252,0.14165,0.15373
R1,-,0.36716,0.44202,0.5264,-,0.20576,0.24563,0.29735,-,0.26341,0.31552,0.37966
R2,-,0.08386,0.10617,0.14204,-,0.04646,0.05877,0.07993,-,0.0597,0.07559,0.10221
R3,-,0.03283,0.0381,0.05535,-,0.01821,0.02106,0.03103,-,0.02339,0.0271,0.03974
RL,-,0.33123,0.40899,0.49252,-,0.18575,0.22732,0.27816,-,0.23773,0.29197,0.35519
RSU,-,0.13149,0.18821,0.26416,-,0.04186,0.05859,0.08449,-,0.06324,0.08908,0.12762
RS,-,0.12237,0.18333,0.26163,-,0.03834,0.0566,0.08333,-,0.05814,0.08622,0.12599


U
R4,-,0.00192,0.00387,0.00685,-,0.001,0.00193,0.00346,-,0.00132,0.00257,0.0046
RW,-,0.11272,0.12988,0.14055,-,0.09905,0.11442,0.12396,-,0.10533,0.12152,0.13171
R1,-,0.30871,0.40057,0.48678,-,0.1603,0.20557,0.24702,-,0.21089,0.27155,0.32768
R2,-,0.0388,0.06232,0.08226,-,0.02005,0.03179,0.04166,-,0.02642,0.04208,0.0553
R3,-,0.0081,0.01283,0.01799,-,0.0042,0.00648,0.0091,-,0.00553,0.00861,0.01209
RL,-,0.27995,0.37354,0.45685,-,0.14537,0.19176,0.23181,-,0.19124,0.25328,0.30752
RSU,-,0.09337,0.15374,0.22673,-,0.02562,0.04099,0.05863,-,0.04014,0.06457,0.09314
RS,-,0.08509,0.14898,0.22423,-,0.02297,0.03937,0.05771,-,0.0361,0.06213,0.09177


W
R4,-,0.00046,0.0027,0.0071,-,0.00037,0.00134,0.00394,-,0.0004,0.00179,0.00505
RW,-,0.09515,0.11297,0.13087,-,0.10418,0.11259,0.13057,-,0.09478,0.10963,0.13002
R1,-,0.26418,0.35237,0.46006,-,0.16595,0.20121,0.26449,-,0.19511,0.25055,0.33421
R2,-,0.02536,0.04345,0.07602,-,0.01571,0.02374,0.04327,-,0.01879,0.0305,0.05489
R3,-,0.00336,0.00668,0.01868,-,0.00231,0.00359,0.01054,-,0.00265,0.00464,0.01342
RL,-,0.23317,0.32187,0.42686,-,0.14725,0.18431,0.24528,-,0.17251,0.22907,0.31
RSU,-,0.0712,0.12356,0.20227,-,0.02747,0.03955,0.06721,-,0.03488,0.05671,0.09923
RS,-,0.06377,0.11915,0.19978,-,0.02279,0.03698,0.0661,-,0.03055,0.05424,0.09768


Y
R4,-,0.00025,0.00877,0.02454,-,0.00011,0.00471,0.01273,-,0.00016,0.00612,0.01676
RW,-,0.12105,0.14135,0.15585,-,0.11404,0.13515,0.14176,-,0.11693,0.13781,0.14841
R1,-,0.3287,0.43284,0.52861,-,0.18288,0.24126,0.27659,-,0.23416,0.30915,0.36307
R2,-,0.04536,0.07734,0.13164,-,0.02498,0.043,0.06873,-,0.03211,0.05514,0.09029
R3,-,0.00832,0.02104,0.04649,-,0.00464,0.01156,0.0242,-,0.00593,0.01489,0.03182
RL,-,0.29747,0.39869,0.49569,-,0.1654,0.22227,0.25939,-,0.21182,0.2848,0.34048
RSU,-,0.10376,0.1728,0.26483,-,0.03232,0.05423,0.07289,-,0.04872,0.08191,0.11424
RS,-,0.0951,0.1678,0.26229,-,0.02909,0.05223,0.07187,-,0.04403,0.07903,0.11274


Z
R4,-,0.00562,0.01007,0.01689,-,0.00298,0.0053,0.00874,-,0.00389,0.00694,0.01152
RW,-,0.11555,0.13451,0.14637,-,0.10853,0.12246,0.13256,-,0.11181,0.12807,0.13908
R1,-,0.31976,0.41687,0.50543,-,0.17748,0.2214,0.26351,-,0.2281,0.28903,0.34638
R2,-,0.04251,0.07972,0.11578,-,0.02325,0.04232,0.06022,-,0.03004,0.05525,0.07922
R3,-,0.01146,0.02318,0.03644,-,0.0062,0.01226,0.01892,-,0.00804,0.01603,0.0249
RL,-,0.28177,0.37876,0.47129,-,0.15627,0.20101,0.24569,-,0.20091,0.2625,0.32296
RSU,-,0.10163,0.16876,0.24849,-,0.03176,0.04841,0.06785,-,0.04829,0.07503,0.10656
RS,-,0.0932,0.16397,0.246,-,0.02867,0.04664,0.06687,-,0.04375,0.07243,0.10512


