ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00699,0.00831,0.01197,0.0,0.00586,0.00606,0.00574,0.0,0.00625,0.00689,0.00734
RW,0.07335,0.09677,0.11522,0.1437,0.11522,0.13139,0.12733,0.10769,0.08746,0.10957,0.11588,0.11308
R1,0.12565,0.25346,0.33144,0.43077,0.12965,0.20676,0.218,0.19688,0.1245,0.22374,0.25231,0.2529
R2,0.01828,0.04596,0.06668,0.09022,0.02216,0.03815,0.0437,0.04094,0.01977,0.04097,0.05068,0.05258
R3,0.00215,0.01515,0.01965,0.02738,0.00321,0.01246,0.01374,0.01265,0.00253,0.01341,0.01576,0.01624
RL,0.11495,0.21742,0.29029,0.3866,0.11716,0.17719,0.19251,0.17735,0.11324,0.19183,0.22264,0.22762
RSU,0.02769,0.05982,0.09878,0.16901,0.03204,0.0486,0.05714,0.05449,0.02743,0.05197,0.06647,0.0721
RS,0.00914,0.05142,0.09201,0.16281,0.01232,0.04199,0.05392,0.05308,0.00986,0.04484,0.06264,0.07016


19
R4,0.00236,0.01504,0.0176,0.02208,0.00267,0.01357,0.01412,0.01114,0.00247,0.01396,0.01524,0.01366
RW,0.11955,0.11988,0.13349,0.16472,0.21016,0.15987,0.14908,0.12414,0.14769,0.13364,0.13432,0.12973
R1,0.21952,0.30819,0.37269,0.47969,0.24594,0.24512,0.24914,0.22099,0.22432,0.26624,0.28581,0.28278
R2,0.07063,0.07993,0.09345,0.12793,0.08565,0.0651,0.06266,0.05838,0.07374,0.06956,0.07134,0.07451
R3,0.01346,0.02907,0.03148,0.04532,0.01328,0.02535,0.02382,0.02146,0.0132,0.02647,0.02627,0.02695
RL,0.19321,0.26849,0.33548,0.44186,0.21806,0.21462,0.22584,0.20397,0.19767,0.23289,0.25863,0.26077
RSU,0.0652,0.08449,0.12469,0.21158,0.0925,0.06668,0.07546,0.06785,0.06614,0.07041,0.08597,0.08917
RS,0.03705,0.07422,0.11723,0.20558,0.04853,0.05939,0.07193,0.06631,0.03696,0.06246,0.08181,0.08709


2
R4,-,0.01191,0.01195,0.01308,-,0.00997,0.00822,0.00662,-,0.01026,0.00896,0.00797
RW,-,0.09703,0.11337,0.13715,-,0.13089,0.1212,0.10359,-,0.10799,0.11086,0.1071
R1,-,0.23879,0.30686,0.39717,-,0.1957,0.19973,0.18401,-,0.20935,0.23115,0.23392
R2,-,0.04896,0.06448,0.08167,-,0.03999,0.04127,0.03764,-,0.04233,0.04749,0.04737
R3,-,0.02032,0.02251,0.0274,-,0.01656,0.01424,0.01282,-,0.01723,0.01608,0.01584
RL,-,0.20895,0.28279,0.36983,-,0.17,0.18355,0.17172,-,0.18229,0.21249,0.21803
RSU,-,0.05544,0.0904,0.14997,-,0.0446,0.05039,0.04896,-,0.04598,0.05821,0.06338
RS,-,0.04696,0.08401,0.14398,-,0.03809,0.0474,0.0476,-,0.03921,0.05463,0.06154


20
