ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
R2,0.03592,0.02889,0.07629,0.10341,0.03225,0.0269,0.06822,0.09327,0.03371,0.02767,0.07201,0.09807
R3,0.00684,0.00352,0.02432,0.03672,0.00558,0.00347,0.02165,0.03315,0.00607,0.00347,0.0229,0.03484
RL,0.16362,0.18887,0.31403,0.38465,0.15162,0.17195,0.2812,0.34674,0.15645,0.17936,0.29661,0.36465
RSU,0.04806,0.0424,0.11073,0.1566,0.0416,0.03499,0.08889,0.12737,0.04368,0.03794,0.09849,0.14039
RS,0.02319,0.03597,0.10606,0.1541,0.01959,0.02948,0.08497,0.12522,0.02075,0.03209,0.09423,0.13808


28
R4,-,0.00748,0.01129,0.02168,-,0.00791,0.0116,0.02155,-,0.00765,0.01143,0.02161
RW,-,0.10454,0.11187,0.12577,-,0.17619,0.19054,0.2089,-,0.13082,0.14084,0.15693
R1,-,0.27486,0.34041,0.4121,-,0.28272,0.34749,0.41118,-,0.27798,0.34366,0.41152
R2,-,0.05977,0.07497,0.10591,-,0.0619,0.07663,0.1055,-,0.06062,0.07573,0.10568
R3,-,0.01931,0.02596,0.04167,-,0.02024,0.02662,0.04143,-,0.01967,0.02626,0.04154
RL,-,0.23739,0.30074,0.38142,-,0.24404,0.30708,0.38051,-,0.24002,0.30365,0.38086
RSU,-,0.07065,0.10598,0.15666,-,0.075,0.11066,0.15591,-,0.07196,0.10794,0.15612
RS,-,0.06258,0.10136,0.15415,-,0.06648,0.1059,0.1534,-,0.06374,0.10326,0.15362


29
R4,0.00107,0.00663,0.00699,0.01089,0.00114,0.00696,0.00716,0.01229,0.00111,0.00668,0.00707,0.01153
RW,0.10883,0.09442,0.10751,0.11117,0.16205,0.18368,0.18696,0.20677,0.12991,0.1211,0.13618,0.14435
R1,0.20809,0.24564,0.31976,0.36555,0.20451,0.28808,0.33341,0.40824,0.20593,0.25737,0.32565,0.38499
R2,0.03322,0.05069,0.05949,0.07721,0.03291,0.05999,0.06168,0.0866,0.03298,0.0531,0.06046,0.08148
R3,0.00407,0.01622,0.01763,0.0239,0.00417,0.01859,0.01814,0.02688,0.00412,0.01678,0.01786,0.02526
RL,0.17347,0.2133,0.29151,0.33842,0.17066,0.25118,0.30371,0.37802,0.17175,0.22366,0.29678,0.35645
RSU,0.05327,0.05811,0.09113,0.12152,0.05269,0.08063,0.09879,0.15105,0.0527,0.06152,0.09398,0.1337
RS,0.02303,0.05074,0.08661,0.11912,0.02344,0.06956,0.0939,0.14821,0.02312,0.05357,0.08932,0.13111


3
R4,-,0.00638,0.01244,0.01766,-,0.00678,0.01283,0.02038,-,0.00654,0.01262,0.01866
RW,-,0.09895,0.11071,0.11919,-,0.17019,0.19049,0.21103,-,0.12455,0.13996,0.15144
R1,-,0.25855,0.32694,0.38668,-,0.27216,0.33701,0.41014,-,0.26398,0.33169,0.39586
R2,-,0.05386,0.07152,0.09531,-,0.05701,0.07374,0.10323,-,0.05511,0.07257,0.09832
R3,-,0.01673,0.02497,0.03577,-,0.0178,0.02574,0.03991,-,0.01715,0.02533,0.03731
RL,-,0.22463,0.29636,0.36009,-,0.23549,0.30561,0.3819,-,0.22897,0.30073,0.3686
RSU,-,0.06384,0.09943,0.1414,-,0.07052,0.10577,0.15912,-,0.06582,0.10225,0.1467
RS,-,0.05617,0.09494,0.13899,-,0.062,0.10106,0.15645,-,0.05785,0.09766,0.1442


