ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00403,0.00664,0.01124,0.0,0.0005,0.00052,0.00042,0.0,0.00089,0.00096,0.00081
RW,0.08667,0.15734,0.21881,0.2742,0.12881,0.05099,0.03448,0.02128,0.10076,0.07674,0.05943,0.03944
R1,0.1516,0.31542,0.4451,0.52892,0.14802,0.06724,0.04621,0.02695,0.14588,0.11056,0.08362,0.05125
R2,0.02596,0.05717,0.09179,0.13022,0.03029,0.01078,0.00879,0.00605,0.02715,0.01809,0.01602,0.01155
R3,0.0021,0.01295,0.02196,0.03377,0.0035,0.00204,0.0019,0.00143,0.0026,0.00351,0.00349,0.00274
RL,0.13619,0.2625,0.37683,0.48274,0.13361,0.05596,0.03896,0.02453,0.13132,0.09202,0.07052,0.04665
RSU,0.03716,0.11547,0.20156,0.28871,0.03852,0.00564,0.00241,0.00083,0.03479,0.01072,0.00476,0.00166
RS,0.0153,0.07483,0.15174,0.23979,0.01822,0.0032,0.00158,0.00059,0.01537,0.00611,0.00312,0.00118


19
R4,0.00358,0.01164,0.01516,0.01982,0.00356,0.00193,0.00117,0.00077,0.00356,0.0033,0.00216,0.00147
RW,0.13096,0.19725,0.26421,0.31537,0.22637,0.06227,0.04187,0.02466,0.15877,0.09414,0.0721,0.04567
R1,0.23397,0.38846,0.49991,0.588,0.26184,0.08062,0.052,0.03011,0.23603,0.13308,0.09407,0.05725
R2,0.07843,0.09778,0.13344,0.17232,0.1005,0.01863,0.01259,0.00817,0.0813,0.03118,0.02297,0.01558
R3,0.01979,0.02578,0.03605,0.05344,0.02075,0.00464,0.00314,0.00235,0.0193,0.00784,0.00577,0.00449
RL,0.20757,0.3375,0.45746,0.5521,0.23458,0.06975,0.04753,0.02827,0.20982,0.11522,0.086,0.05375
RSU,0.07393,0.17562,0.26738,0.36385,0.11084,0.00816,0.00315,0.00105,0.07372,0.01552,0.00622,0.0021
RS,0.04334,0.13219,0.22048,0.31844,0.06616,0.00535,0.00222,0.00078,0.0429,0.01024,0.0044,0.00156


2
R4,-,0.01544,0.01664,0.01664,-,0.00268,0.00122,0.0006,-,0.00453,0.00227,0.00115
RW,-,0.18594,0.23282,0.27793,-,0.06253,0.0365,0.02194,-,0.09263,0.06294,0.04058
R1,-,0.3482,0.43623,0.51606,-,0.07721,0.04496,0.02683,-,0.12554,0.08141,0.05096
R2,-,0.08295,0.10598,0.12198,-,0.01742,0.01003,0.00575,-,0.02859,0.0183,0.01098
R3,-,0.02803,0.03278,0.03378,-,0.00545,0.00276,0.00141,-,0.00905,0.00508,0.0027
RL,-,0.30836,0.39643,0.47936,-,0.06786,0.04077,0.02487,-,0.1105,0.07384,0.04724
RSU,-,0.14106,0.21418,0.28666,-,0.00759,0.00247,0.00085,-,0.01426,0.00489,0.0017
RS,-,0.10063,0.16926,0.24011,-,0.00475,0.00168,0.00061,-,0.00899,0.00332,0.00122


20
