Method,010,050,100,200
R1,0.06,0.06,0.71,0.54
R2,0.16,0.20,0.90,0.80
R3,0.11,0.26,0.84,0.83
R4,-0.08,0.20,0.80,0.87
RSU,0.07,0.00,0.72,0.57
RL,0.04,0.05,0.70,0.55
RW,0.02,-0.04,0.65,0.50
RS,0.04,0.12,0.77,0.61
