ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
R2,0.03583,0.04392,0.0826,0.10366,0.02512,0.02509,0.04064,0.03635,0.02909,0.03096,0.05199,0.05047
R3,0.0056,0.00637,0.01985,0.02837,0.00377,0.00356,0.00857,0.00912,0.00445,0.00449,0.01107,0.01274
RL,0.17747,0.22311,0.28056,0.3542,0.14236,0.12303,0.15099,0.13307,0.15604,0.15518,0.18958,0.18284
RSU,0.06636,0.05846,0.08482,0.13037,0.04212,0.02145,0.03037,0.02528,0.04951,0.02995,0.04142,0.03784
RS,0.03126,0.04492,0.07444,0.12071,0.01832,0.01624,0.02673,0.02364,0.02206,0.02287,0.03651,0.03538


28
R4,-,0.01107,0.0098,0.01613,-,0.0077,0.00586,0.00706,-,0.00844,0.00663,0.00911
RW,-,0.12578,0.13373,0.16457,-,0.15501,0.13222,0.10873,-,0.13495,0.12709,0.12113
R1,-,0.24985,0.29484,0.38363,-,0.20322,0.19453,0.16998,-,0.21809,0.22532,0.22109
R2,-,0.08087,0.08695,0.10661,-,0.06531,0.05643,0.04729,-,0.06966,0.06513,0.06142
R3,-,0.02674,0.02651,0.03599,-,0.02089,0.0163,0.01546,-,0.02215,0.01871,0.02007
RL,-,0.2285,0.27161,0.35656,-,0.18675,0.17932,0.15928,-,0.19997,0.20745,0.20694
RSU,-,0.06157,0.07629,0.12997,-,0.0506,0.04338,0.03691,-,0.05119,0.05008,0.04993
RS,-,0.04751,0.06581,0.12031,-,0.04016,0.03829,0.03471,-,0.04002,0.04397,0.04686


29
R4,0.0,0.00661,0.0107,0.00891,0.0,0.00431,0.00613,0.00401,0.0,0.00463,0.00718,0.00488
RW,0.1351,0.11055,0.12234,0.1434,0.13596,0.16867,0.13411,0.11148,0.13457,0.125,0.12271,0.11547
R1,0.24156,0.22052,0.26684,0.32979,0.1709,0.2174,0.1927,0.17245,0.19925,0.20477,0.21509,0.21129
R2,0.04358,0.06285,0.07241,0.0819,0.02706,0.06061,0.05112,0.04104,0.03309,0.05667,0.05707,0.05067
R3,0.0,0.01913,0.02504,0.02529,0.0,0.01554,0.01575,0.01179,0.0,0.01567,0.01799,0.01453
RL,0.19786,0.20093,0.24959,0.30909,0.1393,0.19979,0.18147,0.16213,0.16265,0.18716,0.20223,0.19873
RSU,0.08135,0.05562,0.06081,0.09617,0.04203,0.06175,0.04107,0.03477,0.05448,0.04755,0.04429,0.04227
RS,0.03259,0.04301,0.05051,0.08722,0.01585,0.0475,0.03526,0.03197,0.02084,0.03632,0.03781,0.03869


3
R4,-,0.01178,0.01187,0.01283,-,0.00894,0.00732,0.00597,-,0.00966,0.00828,0.00727
RW,-,0.12332,0.12802,0.15553,-,0.15272,0.1299,0.10964,-,0.13349,0.12301,0.11751
R1,-,0.24138,0.27915,0.35884,-,0.19706,0.18894,0.17046,-,0.21239,0.21562,0.2146
R2,-,0.07909,0.07963,0.09917,-,0.06393,0.0519,0.04639,-,0.06874,0.05947,0.05823
R3,-,0.02759,0.02783,0.03297,-,0.02177,0.01744,0.01501,-,0.02333,0.01989,0.01865
RL,-,0.22366,0.25738,0.3349,-,0.18247,0.17476,0.15962,-,0.19666,0.19941,0.20096
RSU,-,0.06028,0.07189,0.116,-,0.04713,0.04228,0.03715,-,0.04977,0.04754,0.04679
RS,-,0.0467,0.06171,0.10676,-,0.03678,0.03713,0.03468,-,0.03867,0.04155,0.04356
