ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.00808,0.01178,0.02108,0.02468,0.00747,0.01014,0.01771,0.02214,0.00772,0.01087,0.01922,0.02322
RW,0.1089,0.11836,0.13019,0.12847,0.15431,0.15819,0.17422,0.18223,0.12681,0.13495,0.14866,0.14984
R1,0.21961,0.27441,0.33312,0.37509,0.20373,0.23896,0.28822,0.34244,0.20979,0.25463,0.30835,0.35613
R2,0.06111,0.07269,0.09626,0.11016,0.05774,0.06255,0.08195,0.09955,0.05881,0.06705,0.08836,0.10401
R3,0.01855,0.02463,0.03909,0.04501,0.01702,0.02107,0.03299,0.04045,0.01764,0.02265,0.03572,0.04237
RL,0.2002,0.25034,0.31464,0.35927,0.1857,0.21795,0.2723,0.32824,0.19122,0.23226,0.29128,0.34123
RSU,0.05678,0.07066,0.09726,0.1175,0.04869,0.05316,0.07223,0.0975,0.05091,0.05997,0.08223,0.10442
RS,0.044,0.06256,0.09253,0.11485,0.03702,0.04664,0.06845,0.09514,0.03899,0.05281,0.07805,0.10197


