ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.00807,0.00971,0.01205,0.0,0.00629,0.00631,0.00579,0.0,0.00705,0.00764,0.00773
RW,0.06312,0.11735,0.13363,0.15338,0.10957,0.15584,0.13906,0.11427,0.07869,0.13325,0.13601,0.13037
R1,0.08988,0.23512,0.29909,0.37512,0.10754,0.20455,0.20085,0.1765,0.09621,0.21768,0.2399,0.2392
R2,0.01997,0.07531,0.08682,0.10712,0.02421,0.06418,0.05745,0.05004,0.02128,0.06893,0.06904,0.06793
R3,0.00088,0.02231,0.02648,0.03326,0.00058,0.01839,0.0174,0.01563,0.0007,0.02007,0.02097,0.02112
RL,0.08739,0.21573,0.2766,0.35062,0.10495,0.18758,0.1858,0.1651,0.09367,0.19968,0.2219,0.22368
RSU,0.02546,0.05608,0.07833,0.10547,0.03646,0.04898,0.0457,0.03631,0.02784,0.05138,0.05736,0.05328
RS,0.00794,0.04381,0.06979,0.09906,0.01064,0.038,0.04045,0.03384,0.00818,0.03998,0.05089,0.04976


