ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00512,0.0044,0.00485,0.0,0.00598,0.00417,0.00488,0.0,0.0055,0.00427,0.00484
RW,0.10309,0.079,0.08985,0.09857,0.12263,0.13793,0.14021,0.15132,0.10871,0.09976,0.10904,0.11902
R1,0.15225,0.15909,0.19928,0.25282,0.12708,0.18515,0.20804,0.26069,0.13486,0.16991,0.20274,0.25605
R2,0.02567,0.0391,0.04349,0.05237,0.02358,0.04538,0.04407,0.05352,0.02367,0.04169,0.0436,0.0528
R3,0.00316,0.01173,0.01076,0.01331,0.00289,0.01343,0.01068,0.01352,0.00302,0.01243,0.01066,0.01338
RL,0.14749,0.14599,0.18618,0.23704,0.1226,0.17018,0.19427,0.24435,0.13036,0.15602,0.18937,0.24004
RSU,0.04379,0.02969,0.03915,0.05692,0.03225,0.04029,0.04188,0.06015,0.03379,0.0333,0.03979,0.05793
RS,0.01148,0.02127,0.03375,0.05353,0.01004,0.029,0.03596,0.05655,0.00978,0.02388,0.03421,0.05446


19
R4,0.01371,0.01108,0.01364,0.01491,0.00532,0.01065,0.01355,0.01471,0.00767,0.01081,0.01351,0.01477
RW,0.1695,0.11167,0.11484,0.12396,0.2267,0.17019,0.17508,0.18219,0.18469,0.13372,0.13806,0.14708
R1,0.27237,0.22767,0.26281,0.32108,0.25268,0.23091,0.26648,0.31635,0.25028,0.22726,0.26345,0.31786
R2,0.09486,0.06971,0.07437,0.08962,0.08887,0.06965,0.07512,0.08803,0.08519,0.06915,0.0744,0.08862
R3,0.02342,0.02387,0.0267,0.03257,0.01302,0.02338,0.02693,0.03213,0.01649,0.0235,0.02668,0.03227
RL,0.24747,0.20702,0.24321,0.30198,0.22923,0.20961,0.24687,0.2974,0.2265,0.20645,0.24393,0.29889
RSU,0.10825,0.0564,0.06537,0.09202,0.1024,0.05876,0.06709,0.08949,0.08592,0.05573,0.06503,0.08984
RS,0.05933,0.04519,0.05874,0.08802,0.0477,0.04684,0.06023,0.08556,0.0422,0.04452,0.05837,0.08591


2
R4,-,0.00481,0.00457,0.00467,-,0.00573,0.00525,0.00525,-,0.00523,0.00487,0.00493
RW,-,0.07481,0.07627,0.08032,-,0.13412,0.12834,0.1351,-,0.09523,0.09531,0.10032
R1,-,0.13824,0.16242,0.19439,-,0.16512,0.18231,0.21938,-,0.14928,0.17124,0.20529
R2,-,0.0405,0.0393,0.04287,-,0.05025,0.04402,0.04775,-,0.04445,0.04139,0.04499
R3,-,0.01291,0.012,0.01278,-,0.01612,0.01352,0.01425,-,0.01424,0.01267,0.01343
RL,-,0.13207,0.15633,0.1864,-,0.1577,0.17567,0.21036,-,0.1426,0.1649,0.19686
RSU,-,0.02773,0.02962,0.0373,-,0.03938,0.0371,0.04765,-,0.03172,0.03259,0.0412
RS,-,0.02051,0.02517,0.03459,-,0.02923,0.03158,0.04425,-,0.02351,0.02771,0.03822


20
