ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.01181,0.0175,0.01997,0.0,0.00264,0.00186,0.00107,0.0,0.00431,0.00336,0.00202
RW,0.06489,0.23283,0.28355,0.33754,0.11833,0.09139,0.05462,0.03323,0.08174,0.12969,0.09112,0.0603
R1,0.09484,0.39488,0.47748,0.57911,0.12256,0.10811,0.06406,0.03971,0.1046,0.16849,0.11263,0.07418
R2,0.01598,0.13772,0.17218,0.19743,0.02381,0.03373,0.02051,0.01197,0.01873,0.05363,0.03652,0.02252
R3,0.0,0.0408,0.05453,0.06387,0.0,0.00921,0.00588,0.00348,0.0,0.01488,0.01056,0.00658
RL,0.09071,0.35896,0.44611,0.53888,0.11734,0.09799,0.05973,0.03687,0.10003,0.1528,0.10505,0.06888
RSU,0.02559,0.18506,0.25853,0.35893,0.04273,0.01531,0.0052,0.00189,0.02948,0.02795,0.01018,0.00375
RS,0.00764,0.12528,0.19765,0.29983,0.01263,0.00899,0.00335,0.00128,0.00863,0.01659,0.00657,0.00255


