ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RW,0.10155,0.11061,0.12221,0.14859,0.13365,0.1268,0.11597,0.10282,0.11484,0.11777,0.11866,0.12123
R1,0.20925,0.25135,0.30809,0.40443,0.18015,0.18676,0.18649,0.17403,0.19302,0.21385,0.23192,0.24293
R2,0.05318,0.06132,0.07179,0.11434,0.04552,0.04495,0.04339,0.04913,0.04892,0.05177,0.05397,0.06859
R3,0.0129,0.01538,0.01974,0.04183,0.01085,0.01137,0.01212,0.01807,0.01176,0.01305,0.01497,0.02517
RL,0.18847,0.23169,0.28749,0.38344,0.16244,0.17241,0.17423,0.16508,0.17396,0.19729,0.21659,0.2304
RSU,0.05504,0.0663,0.08847,0.13713,0.0413,0.03809,0.03823,0.03555,0.04672,0.048,0.05303,0.05618
RS,0.04311,0.05817,0.08321,0.13329,0.03199,0.03306,0.03574,0.03437,0.03636,0.04182,0.04966,0.05437


R
R4,0.0124,0.01362,0.01212,0.01025,0.0153,0.01019,0.00778,0.00761,0.01321,0.01165,0.00943,0.00863
RW,0.10285,0.11098,0.11601,0.10471,0.15005,0.14054,0.12861,0.13291,0.11909,0.12306,0.12064,0.11405
R1,0.19948,0.24928,0.28944,0.27869,0.19187,0.20462,0.20468,0.21933,0.19141,0.22287,0.23724,0.23885
R2,0.05566,0.06712,0.0774,0.07325,0.05642,0.05384,0.05403,0.05822,0.05452,0.05928,0.06291,0.0631
R3,0.02095,0.02246,0.02371,0.02214,0.0227,0.01732,0.01555,0.01678,0.02109,0.01946,0.01866,0.01874
RL,0.18696,0.2318,0.27192,0.26472,0.17919,0.19035,0.19211,0.20771,0.17917,0.20726,0.22283,0.22666
RSU,0.05193,0.06571,0.07814,0.06867,0.0521,0.04561,0.04503,0.05627,0.04728,0.05218,0.05467,0.05609
RS,0.04015,0.05773,0.07308,0.06565,0.04094,0.03948,0.0418,0.05347,0.03643,0.04545,0.05084,0.0534


S
R4,0.01041,0.01244,0.01524,0.01977,0.01939,0.01276,0.00987,0.00938,0.01354,0.01255,0.01196,0.01269
RW,0.0744,0.09627,0.12346,0.14078,0.14759,0.13344,0.12485,0.10326,0.09727,0.11086,0.12355,0.11882
R1,0.14689,0.21332,0.30926,0.38346,0.18813,0.19143,0.19945,0.17497,0.16221,0.20035,0.24163,0.23986
R2,0.03701,0.05403,0.08175,0.10239,0.05127,0.0498,0.05255,0.04685,0.04212,0.05142,0.06372,0.06414
R3,0.01474,0.01949,0.02721,0.03667,0.02387,0.01892,0.01736,0.01697,0.01793,0.01909,0.02115,0.02314
RL,0.13008,0.19646,0.29019,0.36477,0.1687,0.17631,0.18719,0.16645,0.14454,0.18453,0.22676,0.22818
RSU,0.02931,0.04691,0.08331,0.11824,0.05451,0.04129,0.04064,0.03456,0.03578,0.04263,0.05386,0.05319
RS,0.02002,0.03973,0.07793,0.11443,0.04036,0.03515,0.0378,0.03329,0.02493,0.03616,0.05017,0.05129


T
R4,0.01289,0.01156,0.0158,0.02094,0.01221,0.00937,0.01064,0.01014,0.01253,0.01033,0.01269,0.01363
RW,0.11414,0.11335,0.12411,0.14192,0.16108,0.14311,0.12922,0.11058,0.13264,0.12611,0.1263,0.12396
R1,0.22889,0.25226,0.30201,0.38203,0.20998,0.20628,0.20093,0.18552,0.21765,0.22643,0.24089,0.24928
R2,0.06656,0.06514,0.08193,0.10785,0.06038,0.05248,0.05407,0.052,0.06303,0.05799,0.06503,0.07004
R3,0.02506,0.02372,0.03107,0.04078,0.02319,0.01898,0.02053,0.01965,0.02402,0.02104,0.02468,0.02647
RL,0.20975,0.23461,0.2877,0.36555,0.19343,0.19208,0.19156,0.17752,0.19997,0.21073,0.22958,0.23854
RSU,0.06753,0.06482,0.08355,0.12144,0.05734,0.04455,0.04271,0.03962,0.06071,0.05234,0.05618,0.0594
RS,0.0546,0.05665,0.07828,0.11768,0.04603,0.03854,0.03976,0.0382,0.04887,0.04545,0.05241,0.05734


U
R4,0.00035,0.00136,0.003,0.0037,0.00032,0.00117,0.00203,0.00176,0.00033,0.00125,0.00241,0.00239
RW,0.07767,0.07711,0.09156,0.10871,0.11769,0.1013,0.10029,0.08521,0.09281,0.08718,0.09527,0.09529
R1,0.14585,0.16343,0.22151,0.29714,0.14609,0.1398,0.15466,0.14475,0.14498,0.15029,0.18148,0.19431
R2,0.02423,0.03029,0.03727,0.04584,0.02398,0.0258,0.02602,0.02237,0.02393,0.02779,0.03054,0.03002
R3,0.00326,0.00501,0.0071,0.00917,0.00292,0.00425,0.0049,0.00441,0.00307,0.00458,0.00578,0.00595
RL,0.13866,0.15613,0.21386,0.28452,0.13902,0.1335,0.14947,0.13863,0.13789,0.14354,0.17531,0.18608
RSU,0.0276,0.02977,0.04332,0.0723,0.02796,0.0231,0.02479,0.02405,0.02709,0.02577,0.03109,0.03591
RS,0.01808,0.024,0.03901,0.06907,0.01822,0.01863,0.02223,0.02289,0.01767,0.02078,0.02791,0.0342


W
R4,0.0,0.00035,0.00183,0.00419,0.0,0.00034,0.00129,0.00222,0.0,0.00034,0.00151,0.00289
RW,0.04218,0.05693,0.07656,0.1033,0.09361,0.09693,0.09229,0.08812,0.05486,0.06877,0.08144,0.09432
R1,0.07366,0.11986,0.18703,0.28383,0.10468,0.12912,0.14288,0.15091,0.0813,0.11944,0.15802,0.19571
R2,0.0086,0.01259,0.0249,0.04871,0.01507,0.01382,0.01858,0.02585,0.01041,0.01286,0.02109,0.03356
R3,0.00029,0.0009,0.00378,0.01058,0.00025,0.00084,0.00269,0.00561,0.00027,0.00087,0.00313,0.0073
RL,0.07054,0.1131,0.17725,0.27053,0.10111,0.12249,0.13508,0.14371,0.07803,0.11281,0.14957,0.18644
RSU,0.01019,0.01704,0.03283,0.0646,0.02353,0.02132,0.02207,0.02554,0.01188,0.01682,0.02441,0.03582
RS,0.00543,0.01272,0.02917,0.06146,0.01174,0.01508,0.01905,0.0242,0.00634,0.01253,0.02156,0.03397


Y
R4,0.00035,0.00064,0.009,0.01414,0.00023,0.00044,0.00569,0.00648,0.00027,0.00052,0.00697,0.00885
RW,0.1057,0.11145,0.12175,0.14342,0.11485,0.12443,0.1232,0.10286,0.10963,0.11696,0.12201,0.11952
R1,0.20538,0.24765,0.30213,0.39176,0.14621,0.1799,0.19541,0.17486,0.1703,0.20761,0.23665,0.2414
R2,0.03983,0.04438,0.06473,0.09862,0.02835,0.03185,0.0413,0.04396,0.03302,0.03695,0.05028,0.06069
R3,0.00455,0.00524,0.01723,0.03136,0.00317,0.0037,0.0108,0.01406,0.00373,0.00432,0.01326,0.01937
RL,0.19852,0.23584,0.28959,0.37439,0.14131,0.17126,0.18723,0.16707,0.16461,0.19767,0.22679,0.23067
RSU,0.04884,0.06043,0.07885,0.12545,0.0252,0.03314,0.03831,0.03489,0.03292,0.04218,0.05107,0.05433
RS,0.03656,0.05225,0.0735,0.12162,0.01845,0.02829,0.03547,0.03365,0.02429,0.03615,0.04739,0.05246


Z
R4,0.00183,0.00345,0.0071,0.01058,0.00171,0.00293,0.00437,0.00464,0.00177,0.00317,0.0054,0.00644
RW,0.07746,0.09322,0.11015,0.13235,0.11282,0.11989,0.1119,0.09717,0.0913,0.10459,0.11075,0.11172
R1,0.15879,0.20817,0.27377,0.36004,0.15119,0.17372,0.17764,0.16515,0.15391,0.18894,0.21513,0.22596
R2,0.02645,0.04109,0.05755,0.0869,0.02526,0.03439,0.03681,0.03931,0.02564,0.03735,0.04481,0.054
R3,0.00637,0.00946,0.01657,0.02597,0.00611,0.00808,0.01045,0.0116,0.0062,0.00871,0.01279,0.016
RL,0.14086,0.19161,0.25763,0.34375,0.13454,0.15966,0.16705,0.15753,0.13671,0.17377,0.20236,0.21561
RSU,0.03407,0.04701,0.0706,0.11374,0.03136,0.03417,0.03447,0.03306,0.03187,0.03919,0.04605,0.05091
RS,0.02458,0.04009,0.06568,0.11017,0.02244,0.02898,0.03187,0.03185,0.02286,0.0333,0.04265,0.0491


