ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.00749,0.0085,0.01268,0.0,0.00741,0.00864,0.00663,0.0,0.00742,0.00856,0.00864
RW,0.06236,0.11144,0.1222,0.16629,0.10563,0.18229,0.18578,0.13313,0.07701,0.13755,0.1471,0.14718
R1,0.09136,0.22738,0.2866,0.40246,0.10661,0.2451,0.28961,0.21361,0.09663,0.2346,0.28755,0.27808
R2,0.02139,0.07068,0.08113,0.1149,0.02391,0.07551,0.08165,0.06057,0.02196,0.07257,0.08124,0.07901
R3,0.00185,0.02081,0.02368,0.03578,0.00116,0.02165,0.02391,0.01865,0.00142,0.02112,0.02375,0.02441
RL,0.08907,0.21048,0.26352,0.37369,0.10451,0.22694,0.26653,0.19838,0.09444,0.21718,0.26451,0.25824
RSU,0.02576,0.05589,0.07456,0.14005,0.03311,0.06477,0.07593,0.03968,0.02683,0.05887,0.07471,0.06121
RS,0.00972,0.04489,0.06742,0.13138,0.01107,0.05201,0.06862,0.0366,0.00931,0.04727,0.06753,0.05669


