ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.00808,0.00853,0.01684,0.02084,0.00747,0.00436,0.00414,0.00267,0.00772,0.00576,0.00664,0.00473
RW,0.1089,0.1417,0.18617,0.23263,0.15431,0.11453,0.07595,0.05139,0.12681,0.12615,0.10764,0.08384
R1,0.21961,0.30699,0.40649,0.50654,0.20373,0.16258,0.1088,0.07338,0.20979,0.21178,0.17133,0.12783
R2,0.06111,0.08084,0.11083,0.13785,0.05774,0.04163,0.02863,0.01904,0.05881,0.05479,0.04543,0.03339
R3,0.01855,0.0242,0.0374,0.04677,0.01702,0.0124,0.00943,0.00626,0.01764,0.01634,0.01505,0.01102
RL,0.2002,0.27871,0.37661,0.47351,0.1857,0.14752,0.10067,0.06859,0.19122,0.19222,0.15858,0.11949
RSU,0.05678,0.09781,0.16523,0.24913,0.04869,0.02774,0.01219,0.00551,0.05091,0.04273,0.02263,0.01075
RS,0.044,0.08395,0.14929,0.23202,0.03702,0.02302,0.01051,0.00486,0.03899,0.03572,0.01957,0.00949


