ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00345,0.0031,0.00495,0.00542,0.00301,0.00282,0.00271,0.00161,0.00321,0.00294,0.00349,0.00247
RW,0.07475,0.07326,0.10311,0.13161,0.10675,0.10506,0.08936,0.06325,0.08724,0.08591,0.09522,0.08476
R1,0.15003,0.15924,0.24153,0.31744,0.13904,0.14849,0.13521,0.09882,0.14337,0.153,0.17256,0.14969
R2,0.03913,0.0308,0.04653,0.05835,0.03551,0.0278,0.02541,0.01796,0.03698,0.02909,0.0327,0.02728
R3,0.01014,0.00779,0.0117,0.01482,0.00883,0.00692,0.0063,0.00445,0.00942,0.0073,0.00816,0.00681
RL,0.13499,0.1485,0.22762,0.30111,0.12525,0.13863,0.12747,0.09371,0.12903,0.14275,0.16265,0.14196
RSU,0.03292,0.02813,0.05954,0.10021,0.02781,0.02398,0.01855,0.01023,0.0294,0.02548,0.02781,0.01824
RS,0.02364,0.02288,0.05353,0.09311,0.01946,0.01926,0.01637,0.00931,0.02079,0.02058,0.02464,0.01662


2
R4,0.00978,0.01517,0.01801,0.02477,0.00855,0.01238,0.00922,0.00905,0.00911,0.01361,0.01216,0.01302
RW,0.10814,0.10834,0.13577,0.16067,0.1454,0.14147,0.10823,0.09109,0.12316,0.12227,0.12002,0.11454
R1,0.22123,0.24626,0.3256,0.39046,0.19383,0.20956,0.16844,0.1435,0.20543,0.22564,0.22143,0.20722
R2,0.06208,0.06209,0.08433,0.10792,0.05337,0.05193,0.04299,0.03829,0.05711,0.05637,0.05679,0.05573
R3,0.02286,0.02543,0.03241,0.04355,0.01954,0.02102,0.01646,0.01522,0.021,0.02295,0.02177,0.0222
RL,0.20176,0.22701,0.30412,0.36565,0.17597,0.19308,0.15714,0.13423,0.18691,0.20796,0.20667,0.19389
RSU,0.06017,0.0614,0.10137,0.14641,0.04743,0.04478,0.0279,0.0201,0.05208,0.05109,0.04334,0.03417
RS,0.04771,0.05406,0.09391,0.13843,0.03735,0.03917,0.02547,0.01852,0.04115,0.0448,0.03968,0.03156


L
R4,0.00998,0.01071,0.01622,0.02572,0.00969,0.00933,0.00825,0.0065,0.00975,0.00994,0.01092,0.01034
RW,0.08792,0.10382,0.13023,0.17831,0.13488,0.13845,0.10482,0.07275,0.10525,0.11834,0.11582,0.10296
R1,0.18141,0.23326,0.31424,0.4344,0.1811,0.20213,0.16408,0.11538,0.17929,0.21611,0.21518,0.18185
R2,0.04859,0.05568,0.07424,0.115,0.04876,0.04767,0.0384,0.03008,0.04803,0.05125,0.05052,0.04753
R3,0.01731,0.01904,0.02714,0.04464,0.01696,0.01638,0.01382,0.01136,0.01697,0.01756,0.01829,0.01805
RL,0.16237,0.21741,0.29353,0.40882,0.16161,0.18867,0.15331,0.10853,0.16028,0.20158,0.20103,0.17108
RSU,0.04188,0.05509,0.0956,0.17849,0.04294,0.04132,0.02678,0.01333,0.04059,0.04685,0.04153,0.02454
RS,0.03079,0.04807,0.08831,0.1701,0.03148,0.03581,0.02439,0.01244,0.0297,0.04071,0.03794,0.02293


M
R4,0.00099,0.00297,0.00569,0.01658,0.00091,0.00255,0.00321,0.00479,0.00095,0.00274,0.0041,0.00741
RW,0.0754,0.08434,0.11146,0.16327,0.11449,0.12075,0.09836,0.07521,0.09003,0.09888,0.10408,0.10259
R1,0.1538,0.18779,0.26724,0.40086,0.1518,0.1755,0.15311,0.12,0.15137,0.18068,0.19406,0.18421
R2,0.03436,0.03525,0.05596,0.09696,0.03271,0.03288,0.03166,0.02883,0.03326,0.0339,0.04031,0.0443
R3,0.0034,0.00643,0.01471,0.02935,0.00299,0.00553,0.0082,0.0086,0.00317,0.00594,0.01051,0.01325
RL,0.13963,0.17295,0.2499,0.37481,0.1376,0.16198,0.1433,0.11219,0.13727,0.16659,0.18157,0.17222
RSU,0.02927,0.03598,0.06989,0.14712,0.02977,0.03184,0.02358,0.01388,0.02839,0.03324,0.03487,0.02512
RS,0.01974,0.02998,0.06332,0.13877,0.02028,0.02644,0.02108,0.01283,0.01918,0.02764,0.03128,0.02326


N
R4,0.00803,0.01199,0.0143,0.02007,0.00549,0.00869,0.00607,0.00429,0.0065,0.01006,0.00852,0.00706
RW,0.0938,0.10531,0.13549,0.18088,0.10059,0.11635,0.09036,0.06254,0.09676,0.11019,0.10808,0.09254
R1,0.19918,0.24207,0.33093,0.44067,0.13842,0.17401,0.14312,0.09896,0.16295,0.20192,0.19937,0.16115
R2,0.04938,0.06194,0.08523,0.11818,0.03409,0.04439,0.03657,0.0263,0.04022,0.0516,0.05107,0.04288
R3,0.01655,0.02214,0.02925,0.041,0.01139,0.01586,0.01236,0.00888,0.01346,0.01844,0.01735,0.01457
RL,0.17434,0.22233,0.30462,0.41333,0.12148,0.15972,0.13166,0.09277,0.14284,0.18539,0.18344,0.15108
RSU,0.04505,0.0586,0.10174,0.17989,0.02224,0.03057,0.01966,0.00971,0.02957,0.03984,0.03273,0.01825
RS,0.03311,0.05127,0.09412,0.17128,0.01604,0.02643,0.01788,0.00905,0.02146,0.0346,0.02985,0.01703


O
R4,0.00202,0.0036,0.00773,0.01209,0.00162,0.00285,0.0036,0.00309,0.0018,0.00318,0.00491,0.0049
RW,0.08699,0.08863,0.11545,0.16033,0.12279,0.12382,0.09915,0.07418,0.10115,0.10277,0.10564,0.09879
R1,0.16458,0.19343,0.27277,0.38991,0.15148,0.17633,0.15179,0.11647,0.15679,0.18353,0.19332,0.17562
R2,0.04064,0.0433,0.06398,0.09287,0.03646,0.03789,0.03376,0.02616,0.03816,0.0402,0.04381,0.04001
R3,0.00689,0.01076,0.01778,0.02899,0.00562,0.00878,0.00854,0.00749,0.00615,0.00964,0.01152,0.01186
RL,0.15854,0.18528,0.25803,0.36689,0.14551,0.16883,0.14378,0.10994,0.15082,0.17576,0.183,0.16551
RSU,0.03608,0.04039,0.07704,0.15046,0.02998,0.0329,0.02369,0.01401,0.03202,0.03556,0.03516,0.024
RS,0.02633,0.03435,0.07053,0.14258,0.02135,0.0276,0.02122,0.01284,0.02303,0.03,0.03166,0.02215


P
R4,0.00656,0.00763,0.01174,0.02527,0.0051,0.00635,0.00589,0.00635,0.00571,0.00692,0.00783,0.01011
RW,0.10094,0.10524,0.13154,0.18088,0.13435,0.13716,0.10215,0.0721,0.11476,0.11883,0.11471,0.1027
R1,0.20771,0.24289,0.31927,0.43858,0.18008,0.2064,0.16096,0.1136,0.19228,0.22272,0.21365,0.17995
R2,0.05338,0.06021,0.07475,0.12377,0.04518,0.05062,0.03712,0.03169,0.04878,0.05489,0.04951,0.05029
R3,0.0141,0.01734,0.02345,0.04799,0.01142,0.01463,0.01163,0.01205,0.01256,0.01584,0.01551,0.0192
RL,0.1876,0.22287,0.29661,0.41194,0.16244,0.18932,0.14946,0.1067,0.17355,0.20433,0.19842,0.16903
RSU,0.05517,0.06091,0.09815,0.18345,0.04151,0.04439,0.02569,0.01306,0.04681,0.05096,0.04047,0.02413
RS,0.04338,0.0537,0.09083,0.17503,0.03214,0.03892,0.02343,0.01221,0.03646,0.04477,0.03701,0.02257


R
R4,0.01377,0.01126,0.01361,0.01411,0.01656,0.00955,0.00725,0.00638,0.01459,0.01028,0.00939,0.00863
RW,0.10226,0.10497,0.12568,0.13962,0.15231,0.14969,0.11482,0.10342,0.11973,0.12236,0.11852,0.11496
R1,0.20374,0.24046,0.30355,0.33356,0.19794,0.22225,0.17983,0.16032,0.19677,0.22901,0.22322,0.20994
R2,0.06065,0.0641,0.0807,0.08851,0.06058,0.05776,0.04704,0.04277,0.05916,0.06026,0.05865,0.05579
R3,0.02221,0.02023,0.02506,0.02769,0.02363,0.01737,0.01354,0.01241,0.02223,0.01858,0.01746,0.01682
RL,0.18827,0.22236,0.28221,0.31432,0.18242,0.20613,0.16683,0.1503,0.18161,0.21203,0.20733,0.19734
RSU,0.05418,0.06049,0.09468,0.11498,0.05374,0.05036,0.0335,0.02755,0.0494,0.0534,0.04705,0.03948
