ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.0009,0.00169,0.00505,0.0,0.00119,0.00091,0.00132,0.0,0.00103,0.00117,0.00208
RW,0.10718,0.08125,0.12068,0.16554,0.12445,0.13829,0.09939,0.06872,0.11171,0.10165,0.10854,0.09684
R1,0.16692,0.16232,0.25863,0.36819,0.13649,0.18541,0.14287,0.10279,0.14603,0.17174,0.1834,0.16036
R2,0.0225,0.02858,0.05097,0.0728,0.01865,0.0326,0.02751,0.01989,0.01973,0.03025,0.03559,0.03117
R3,0.00311,0.00496,0.00954,0.01737,0.0031,0.00548,0.00512,0.00462,0.00303,0.00517,0.00664,0.00728
RL,0.15386,0.14826,0.23086,0.32951,0.12556,0.16968,0.12788,0.09214,0.13457,0.15697,0.16399,0.1437
RSU,0.05292,0.02949,0.06701,0.12859,0.03613,0.0383,0.02081,0.01034,0.03941,0.03239,0.03143,0.01908
RS,0.01663,0.02067,0.05455,0.11299,0.01112,0.0269,0.01648,0.0087,0.01205,0.02268,0.02505,0.01611


19
R4,0.00857,0.00427,0.0064,0.01106,0.00615,0.00408,0.0033,0.00286,0.00711,0.00413,0.0043,0.00452
RW,0.18057,0.11361,0.15597,0.2112,0.2491,0.16794,0.12492,0.08466,0.20125,0.13418,0.13776,0.12042
R1,0.29503,0.22923,0.33176,0.45414,0.27908,0.22801,0.17835,0.1222,0.27605,0.22652,0.23064,0.19208
R2,0.09778,0.06072,0.084,0.12031,0.09828,0.06016,0.04486,0.03201,0.09304,0.05992,0.05812,0.05043
R3,0.01678,0.01479,0.02028,0.03287,0.01374,0.01459,0.01085,0.00867,0.01491,0.0146,0.01401,0.01369
RL,0.26766,0.2099,0.30564,0.42528,0.2564,0.20846,0.16443,0.11451,0.25167,0.20719,0.21256,0.17996
RSU,0.12292,0.05622,0.10474,0.19549,0.12588,0.05534,0.03096,0.01479,0.1063,0.05383,0.04694,0.02738
RS,0.07244,0.04479,0.09002,0.17857,0.0679,0.04356,0.02586,0.01294,0.0613,0.04255,0.03944,0.02404


2
R4,-,0.00297,0.00321,0.00377,-,0.00347,0.00187,0.00108,-,0.00319,0.00236,0.00167
RW,-,0.07475,0.10912,0.14342,-,0.13161,0.09587,0.0651,-,0.09439,0.10156,0.08917
R1,-,0.14018,0.2189,0.29709,-,0.16564,0.12911,0.09042,-,0.15027,0.16167,0.13816
R2,-,0.03622,0.04935,0.06306,-,0.04455,0.0291,0.01891,-,0.03953,0.03644,0.029
R3,-,0.00946,0.01206,0.01453,-,0.01167,0.00695,0.00419,-,0.01037,0.00879,0.00649
RL,-,0.1302,0.20566,0.27965,-,0.15378,0.12135,0.08523,-,0.13955,0.15191,0.13018
RSU,-,0.02393,0.05156,0.09227,-,0.03332,0.01806,0.00882,-,0.02682,0.02639,0.016
RS,-,0.01628,0.04059,0.07888,-,0.02277,0.01379,0.00722,-,0.01823,0.02031,0.01315


20
