ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,-,0.0,0.00169,0.00613,-,0.0,0.00091,0.00314,-,0.0,0.00117,0.00415
RW,-,0.16288,0.12068,0.12788,-,0.06792,0.09939,0.10424,-,0.09453,0.10854,0.11446
R1,-,0.26678,0.25863,0.3081,-,0.07851,0.14287,0.16698,-,0.12008,0.1834,0.216
R2,-,0.05753,0.05097,0.06501,-,0.014,0.02751,0.03507,-,0.02218,0.03559,0.04544
R3,-,0.01117,0.00954,0.01741,-,0.00158,0.00512,0.00918,-,0.00275,0.00664,0.01199
RL,-,0.24455,0.23086,0.28033,-,0.07178,0.12788,0.15186,-,0.1098,0.16399,0.19648
RSU,-,0.09891,0.06701,0.08675,-,0.0091,0.02081,0.02577,-,0.01634,0.03143,0.03941
RS,-,0.05316,0.05455,0.07946,-,0.00408,0.01648,0.02325,-,0.00741,0.02505,0.03567


19
R4,-,0.00533,0.0064,0.01355,-,0.00127,0.0033,0.00697,-,0.00205,0.0043,0.00917
RW,-,0.21727,0.15597,0.16484,-,0.08124,0.12492,0.12872,-,0.11637,0.13776,0.14392
R1,-,0.3628,0.33176,0.39907,-,0.09463,0.17835,0.20732,-,0.14849,0.23064,0.27198
R2,-,0.10738,0.084,0.11147,-,0.02562,0.04486,0.05774,-,0.04078,0.05812,0.07582
R3,-,0.02612,0.02028,0.03493,-,0.00531,0.01085,0.01813,-,0.00874,0.01401,0.02378
RL,-,0.33552,0.30564,0.37037,-,0.08718,0.16443,0.19236,-,0.1369,0.21256,0.25237
RSU,-,0.17188,0.10474,0.14592,-,0.01283,0.03096,0.04027,-,0.0234,0.04694,0.06251
RS,-,0.12021,0.09002,0.13752,-,0.00755,0.02586,0.03739,-,0.01394,0.03944,0.05822


2
R4,-,0.00837,0.00321,0.00479,-,0.00193,0.00187,0.00284,-,0.00311,0.00236,0.00355
RW,-,0.19018,0.10912,0.10755,-,0.08404,0.09587,0.09606,-,0.11476,0.10156,0.10102
R1,-,0.30865,0.2189,0.24155,-,0.09537,0.12911,0.1435,-,0.14427,0.16167,0.17931
R2,-,0.09461,0.04935,0.05238,-,0.02693,0.0291,0.03095,-,0.04145,0.03644,0.03875
R3,-,0.02883,0.01206,0.01448,-,0.007,0.00695,0.00847,-,0.01111,0.00879,0.01066
RL,-,0.28673,0.20566,0.23027,-,0.08832,0.12135,0.13682,-,0.13369,0.15191,0.17095
RSU,-,0.1291,0.05156,0.05903,-,0.01318,0.01806,0.02136,-,0.02347,0.02639,0.03098
RS,-,0.08262,0.04059,0.05307,-,0.00728,0.01379,0.01897,-,0.01313,0.02031,0.0276


20
R4,-,0.0,0.00363,0.00677,-,0.0,0.0021,0.0035,-,0.0,0.00265,0.0046
RW,-,0.17042,0.12807,0.1474,-,0.08543,0.11355,0.11743,-,0.11027,0.11961,0.1304
R1,-,0.28947,0.26602,0.35226,-,0.10007,0.15817,0.18623,-,0.14531,0.19727,0.2432
