ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00424,0.00487,0.00614,0.00724,0.00379,0.00259,0.00162,0.00098,0.00399,0.00337,0.00255,0.00172
RW,0.07449,0.09222,0.12852,0.1603,0.1061,0.0803,0.05619,0.03862,0.08682,0.08528,0.0778,0.06197
R1,0.14755,0.19407,0.27609,0.35055,0.13707,0.10974,0.07843,0.05487,0.14108,0.13949,0.12176,0.09455
R2,0.03687,0.04102,0.05823,0.06979,0.03458,0.02267,0.01607,0.01056,0.0354,0.02905,0.02509,0.01829
R3,0.01028,0.01159,0.01542,0.01793,0.00956,0.00632,0.00427,0.00273,0.00985,0.00815,0.00666,0.00472
RL,0.13029,0.17436,0.25597,0.32795,0.12118,0.09864,0.07274,0.05124,0.1246,0.12534,0.11292,0.08832
RSU,0.03022,0.04412,0.08622,0.13216,0.0257,0.01409,0.00695,0.00337,0.02704,0.02104,0.0128,0.00655
RS,0.02093,0.0342,0.07363,0.11784,0.0173,0.01051,0.00562,0.00284,0.01844,0.01583,0.0104,0.00552


2
R4,0.00856,0.01273,0.01627,0.01962,0.00742,0.00634,0.00415,0.00301,0.00792,0.00843,0.0066,0.00519
RW,0.10701,0.13128,0.17033,0.19698,0.14173,0.10275,0.06842,0.05587,0.12112,0.11474,0.09736,0.08616
R1,0.21745,0.28451,0.37466,0.43618,0.18914,0.1459,0.09834,0.08097,0.2009,0.19207,0.15551,0.1355
R2,0.05503,0.07014,0.09785,0.1159,0.04661,0.03508,0.025,0.02,0.05014,0.04655,0.03976,0.03384
R3,0.01779,0.0252,0.03282,0.03927,0.01498,0.01278,0.00841,0.00626,0.01618,0.01687,0.01337,0.01073
RL,0.19652,0.25853,0.34397,0.40088,0.17026,0.13218,0.09028,0.07435,0.18121,0.17421,0.14276,0.12442
RSU,0.05819,0.08777,0.14235,0.19067,0.04444,0.02349,0.01018,0.00683,0.04907,0.03656,0.01894,0.01306
RS,0.04574,0.07447,0.12683,0.17442,0.03441,0.01928,0.00867,0.00588,0.03819,0.0302,0.01618,0.01127


L
R4,0.00195,0.00527,0.01042,0.02028,0.00194,0.00257,0.00265,0.00249,0.0019,0.00346,0.00422,0.00443
RW,0.08906,0.11845,0.16522,0.21379,0.13334,0.09485,0.06697,0.04348,0.10545,0.10493,0.09506,0.07216
R1,0.17402,0.2518,0.35977,0.46485,0.17228,0.13215,0.09566,0.06209,0.17117,0.17291,0.15092,0.10946
R2,0.03635,0.05241,0.07958,0.12392,0.03687,0.02629,0.02048,0.01592,0.036,0.03496,0.03254,0.0282
R3,0.00834,0.01373,0.02365,0.0434,0.00808,0.00678,0.00604,0.00546,0.00809,0.00907,0.00962,0.00969
RL,0.16186,0.23091,0.33139,0.43374,0.15925,0.12107,0.08807,0.05788,0.15878,0.15847,0.13897,0.10206
RSU,0.03763,0.06646,0.12791,0.21762,0.03724,0.01842,0.00926,0.00401,0.03567,0.02865,0.01724,0.00787
RS,0.02675,0.05414,0.11239,0.20105,0.02603,0.01449,0.00776,0.00351,0.02502,0.0227,0.0145,0.00689


M
R4,0.0,0.00183,0.00677,0.01075,0.0,0.00101,0.00195,0.00152,0.0,0.0013,0.00302,0.00266
RW,0.07423,0.09912,0.13974,0.1972,0.10903,0.08575,0.06192,0.04515,0.08749,0.09152,0.08545,0.07333
R1,0.15454,0.21069,0.30102,0.42853,0.14897,0.11938,0.08755,0.06439,0.15018,0.15178,0.13526,0.11183
R2,0.02993,0.04233,0.06641,0.09852,0.02811,0.02367,0.01865,0.0143,0.02872,0.03027,0.02904,0.02494
R3,0.00143,0.00691,0.0166,0.02535,0.00116,0.00368,0.00468,0.00365,0.00128,0.0048,0.00728,0.00637
RL,0.13445,0.18805,0.27758,0.39936,0.12967,0.1064,0.08066,0.05997,0.13068,0.13534,0.12463,0.10415
RSU,0.03131,0.05028,0.09695,0.18194,0.02943,0.01667,0.00848,0.00423,0.02907,0.02471,0.01551,0.00827
RS,0.02136,0.03953,0.08327,0.16562,0.01973,0.01276,0.00695,0.00365,0.01957,0.01904,0.01276,0.00713


N
R4,0.00718,0.01129,0.01298,0.0162,0.00503,0.00481,0.0027,0.00169,0.00589,0.00672,0.00446,0.00305
RW,0.09458,0.12983,0.16687,0.21585,0.10046,0.08602,0.05592,0.03722,0.09709,0.10302,0.08353,0.0634
R1,0.19905,0.2821,0.3696,0.47703,0.13843,0.12213,0.08122,0.05391,0.1628,0.16988,0.13293,0.09679
R2,0.04454,0.06852,0.09243,0.11776,0.03084,0.029,0.01966,0.0129,0.03632,0.04063,0.03237,0.02324
R3,0.01359,0.02211,0.02675,0.03472,0.00941,0.00934,0.00563,0.00371,0.01108,0.01309,0.00929,0.0067
RL,0.17421,0.25434,0.33513,0.44529,0.12134,0.11008,0.07352,0.05026,0.14261,0.15313,0.12036,0.09025
RSU,0.04464,0.08653,0.13868,0.22352,0.02185,0.0165,0.00691,0.00298,0.02904,0.0275,0.01313,0.00587
RS,0.03256,0.07342,0.12342,0.20669,0.01552,0.01347,0.00585,0.00261,0.02081,0.02259,0.01115,0.00514


O
R4,0.00139,0.00291,0.0053,0.01068,0.0011,0.00123,0.00122,0.0013,0.00123,0.00173,0.00198,0.00232
RW,0.08673,0.10437,0.14345,0.1939,0.1216,0.08747,0.06245,0.04491,0.10074,0.09455,0.08632,0.07147
R1,0.16723,0.21392,0.30071,0.41915,0.15271,0.11734,0.08557,0.06321,0.15874,0.1506,0.13233,0.1082
R2,0.04111,0.04728,0.07421,0.10454,0.03712,0.02472,0.02024,0.01504,0.03878,0.03227,0.03155,0.02581
R3,0.00777,0.01093,0.01665,0.02888,0.0067,0.00525,0.00411,0.00366,0.00717,0.00706,0.00658,0.00649
RL,0.15723,0.2013,0.28184,0.39316,0.14384,0.11018,0.08033,0.0595,0.14938,0.14152,0.12416,0.10171
RSU,0.03791,0.0533,0.09966,0.18057,0.03084,0.01575,0.00817,0.00433,0.03333,0.02386,0.01487,0.00816
RS,0.028,0.04269,0.08635,0.16481,0.02213,0.01201,0.00668,0.00366,0.02423,0.01841,0.01221,0.00692


P
R4,0.00467,0.00439,0.01334,0.02056,0.00408,0.00225,0.00313,0.00256,0.00435,0.00297,0.00506,0.00455
RW,0.10393,0.12631,0.16532,0.22016,0.13908,0.09925,0.06478,0.04388,0.11856,0.11076,0.09291,0.07308
R1,0.21189,0.2716,0.36166,0.4861,0.18578,0.13944,0.09285,0.0634,0.19737,0.18382,0.14762,0.11208
R2,0.05161,0.06616,0.08721,0.12918,0.04537,0.03325,0.02156,0.01633,0.04817,0.04414,0.03454,0.02898
R3,0.01261,0.01514,0.02744,0.0451,0.01104,0.00776,0.00662,0.00565,0.01175,0.01022,0.01066,0.01003
RL,0.19157,0.24809,0.33241,0.44964,0.16833,0.12758,0.08533,0.05862,0.17867,0.1681,0.13566,0.10364
RSU,0.05303,0.08189,0.13469,0.23438,0.04139,0.02213,0.00915,0.00414,0.04603,0.03459,0.0171,0.00814
RS,0.0407,0.06925,0.11973,0.21765,0.03151,0.01816,0.00776,0.00365,0.03518,0.02855,0.01455,0.00717


R
R4,0.0064,0.0075,0.01193,0.0127,0.00666,0.00379,0.00317,0.0027,0.00644,0.00503,0.005,0.00442
RW,0.09833,0.12438,0.15917,0.17173,0.14638,0.10756,0.07379,0.06445,0.11568,0.11417,0.1001,0.09193
R1,0.19352,0.26228,0.33986,0.36664,0.18932,0.1485,0.10321,0.09014,0.18822,0.18782,0.15741,0.14259
R2,0.0502,0.06059,0.08424,0.09384,0.05003,0.03299,0.0248,0.02228,0.04923,0.04236,0.03809,0.03544
R3,0.01524,0.01679,0.02457,0.02709,0.01571,0.00885,0.00672,0.00592,0.01523,0.01153,0.01054,0.00962
RL,0.17832,0.24235,0.31931,0.34731,0.17429,0.13756,0.09706,0.08518,0.17344,0.1738,0.14802,0.13482
RSU,0.04416,0.07643,0.123,0.14366,0.04336,0.02467,0.01177,0.00923,0.04097,0.03608,0.02121,0.01692
