ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.0009,0.00368,0.00485,0.0,0.00119,0.00367,0.00488,0.0,0.00103,0.00366,0.00484
RW,0.11118,0.08125,0.09108,0.09857,0.15206,0.13829,0.14355,0.15132,0.12374,0.10165,0.11101,0.11902
R1,0.17631,0.16232,0.20583,0.25282,0.1671,0.18541,0.21545,0.26069,0.16584,0.17174,0.20974,0.25605
R2,0.02885,0.02858,0.04399,0.05237,0.03194,0.0326,0.04544,0.05352,0.02833,0.03025,0.04453,0.0528
R3,0.00127,0.00496,0.01044,0.01331,0.00166,0.00548,0.01075,0.01352,0.00144,0.00517,0.01055,0.01338
RL,0.1619,0.14826,0.18803,0.23704,0.1553,0.16968,0.19721,0.24435,0.15323,0.15697,0.1918,0.24004
RSU,0.05273,0.02949,0.04122,0.05692,0.04893,0.0383,0.04486,0.06015,0.04485,0.03239,0.04234,0.05793
RS,0.02059,0.02067,0.03568,0.05353,0.02098,0.0269,0.03878,0.05655,0.01771,0.02268,0.03661,0.05446


19
R4,0.00421,0.00427,0.00823,0.01491,0.00399,0.00408,0.00834,0.01471,0.00408,0.00413,0.00826,0.01477
RW,0.17115,0.11361,0.11367,0.12396,0.25973,0.16794,0.17348,0.18219,0.19631,0.13418,0.13667,0.14708
R1,0.27271,0.22923,0.26718,0.32108,0.28889,0.22801,0.27144,0.31635,0.26712,0.22652,0.26806,0.31786
R2,0.09749,0.06072,0.07146,0.08962,0.11579,0.06016,0.07273,0.08803,0.09728,0.05992,0.07178,0.08862
R3,0.02542,0.01479,0.02056,0.03257,0.0223,0.01459,0.02096,0.03213,0.0218,0.0146,0.02068,0.03227
RL,0.25131,0.2099,0.24524,0.30198,0.26599,0.20846,0.24916,0.2974,0.24549,0.20719,0.24605,0.29889
RSU,0.10358,0.05622,0.06715,0.09202,0.13359,0.05534,0.06978,0.08949,0.09567,0.05383,0.06727,0.08984
RS,0.05893,0.04479,0.06042,0.08802,0.07717,0.04356,0.06278,0.08556,0.05319,0.04255,0.0605,0.08591


2
R4,-,0.00297,0.0035,0.00467,-,0.00347,0.00419,0.00525,-,0.00319,0.0038,0.00493
RW,-,0.07475,0.07714,0.08032,-,0.13161,0.12977,0.1351,-,0.09439,0.09638,0.10032
R1,-,0.14018,0.16648,0.19439,-,0.16564,0.18703,0.21938,-,0.15027,0.17553,0.20529
R2,-,0.03622,0.03718,0.04287,-,0.04455,0.04219,0.04775,-,0.03953,0.03937,0.04499
R3,-,0.00946,0.00988,0.01278,-,0.01167,0.01133,0.01425,-,0.01037,0.01052,0.01343
RL,-,0.1302,0.15845,0.1864,-,0.15378,0.17789,0.21036,-,0.13955,0.16701,0.19686
RSU,-,0.02393,0.02836,0.0373,-,0.03332,0.03588,0.04765,-,0.02682,0.0313,0.0412
RS,-,0.01628,0.0238,0.03459,-,0.02277,0.03019,0.04425,-,0.01823,0.0263,0.03822


20
