ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00405,0.00363,0.00672,0.00689,0.00324,0.003,0.0042,0.0035,0.0036,0.00328,0.00514,0.00455
RW,0.07626,0.07594,0.09073,0.10074,0.10769,0.10041,0.09765,0.0862,0.08867,0.08608,0.09334,0.09123
R1,0.15646,0.16614,0.22119,0.26911,0.14112,0.14037,0.15096,0.14422,0.14747,0.15149,0.17811,0.1846
R2,0.04024,0.03572,0.04656,0.05215,0.0351,0.02952,0.03102,0.02729,0.03728,0.03218,0.03688,0.03513
R3,0.01172,0.00942,0.01353,0.01491,0.00963,0.00769,0.00869,0.00765,0.01056,0.00846,0.01052,0.00991
RL,0.1383,0.15327,0.20873,0.25792,0.12492,0.13,0.14247,0.1382,0.1304,0.14005,0.16809,0.1769
RSU,0.03631,0.03133,0.04823,0.06625,0.02888,0.02278,0.02489,0.02472,0.03144,0.02602,0.03212,0.03405
RS,0.02665,0.0255,0.04401,0.06321,0.02049,0.01833,0.02253,0.02346,0.02264,0.02105,0.02915,0.03235


2
R4,0.01762,0.01748,0.01497,0.01931,0.01499,0.01241,0.00996,0.01332,0.01619,0.01448,0.01193,0.01528
RW,0.11109,0.11124,0.12261,0.12343,0.1482,0.13215,0.12272,0.12626,0.12593,0.12016,0.12183,0.12118
R1,0.233,0.2557,0.31128,0.33775,0.2006,0.19468,0.19755,0.2165,0.21403,0.21989,0.24022,0.25677
R2,0.07061,0.06641,0.08168,0.09429,0.05981,0.049,0.05166,0.05994,0.06445,0.05617,0.06293,0.07115
R3,0.03131,0.02951,0.03165,0.03712,0.02639,0.02163,0.0204,0.0239,0.02858,0.02489,0.0247,0.02814
RL,0.20741,0.23521,0.29056,0.31731,0.1779,0.17907,0.18447,0.20337,0.19017,0.20228,0.22429,0.24117
RSU,0.06592,0.06944,0.0905,0.10045,0.05044,0.04149,0.042,0.05344,0.05588,0.05105,0.05636,0.06282
RS,0.05254,0.0614,0.0851,0.09693,0.03997,0.0363,0.03931,0.05134,0.04443,0.04483,0.05282,0.06035


L
R4,0.01136,0.01015,0.01588,0.02468,0.01,0.00815,0.00991,0.01152,0.01057,0.00901,0.01218,0.01562
RW,0.08639,0.10376,0.12205,0.14498,0.13095,0.12707,0.12263,0.10606,0.10277,0.11379,0.1217,0.12128
R1,0.17835,0.23459,0.30527,0.39516,0.17462,0.18426,0.19482,0.18116,0.17429,0.20567,0.23672,0.24646
R2,0.0509,0.05828,0.07552,0.10854,0.0478,0.04531,0.04803,0.04983,0.04866,0.05078,0.05848,0.06779
R3,0.01913,0.02061,0.02888,0.04551,0.01704,0.01612,0.01824,0.02085,0.01794,0.01802,0.02228,0.0284
RL,0.16137,0.21732,0.28708,0.37551,0.15733,0.1708,0.18332,0.17213,0.15747,0.1906,0.22269,0.23419
RSU,0.04407,0.05886,0.08546,0.13627,0.04246,0.03778,0.03959,0.03756,0.04118,0.04546,0.05345,0.05767
RS,0.03307,0.05125,0.08009,0.13241,0.03145,0.03269,0.03689,0.03631,0.03058,0.03942,0.04989,0.0558


M
R4,0.00623,0.00571,0.00813,0.02009,0.00654,0.00439,0.0054,0.0102,0.00637,0.00495,0.00646,0.01347
RW,0.07892,0.0892,0.09993,0.13127,0.1189,0.11658,0.10883,0.10725,0.09413,0.10058,0.10353,0.11673
R1,0.15759,0.20029,0.2477,0.35771,0.15347,0.16768,0.17156,0.18316,0.15431,0.18164,0.20151,0.24011
R2,0.04063,0.04236,0.05612,0.09397,0.03845,0.03524,0.03853,0.04828,0.03929,0.03832,0.04545,0.06327
R3,0.00921,0.01242,0.01823,0.03531,0.00936,0.00981,0.01226,0.01802,0.00925,0.01094,0.01459,0.0237
RL,0.14169,0.18375,0.23141,0.33812,0.1377,0.15413,0.16031,0.17299,0.13856,0.16682,0.1883,0.22683
RSU,0.0333,0.04298,0.05724,0.11019,0.0331,0.03121,0.03098,0.0377,0.03229,0.03554,0.03943,0.05476
RS,0.02337,0.03609,0.05252,0.10644,0.0234,0.02604,0.02827,0.03626,0.02275,0.02972,0.03603,0.05271


N
R4,0.00878,0.00921,0.01149,0.0178,0.00584,0.00596,0.00614,0.00705,0.00701,0.00722,0.00798,0.01004
RW,0.09368,0.10418,0.11893,0.14278,0.09946,0.10489,0.09892,0.08814,0.09616,0.10414,0.10746,0.10798
R1,0.20134,0.24127,0.30582,0.39315,0.13762,0.15533,0.16142,0.15243,0.16304,0.18838,0.21038,0.21818
R2,0.05078,0.05833,0.07597,0.10241,0.03427,0.03748,0.03988,0.03943,0.04082,0.0455,0.05208,0.05652
R3,0.0156,0.01878,0.0249,0.03735,0.01043,0.01206,0.01321,0.01456,0.01249,0.01465,0.0172,0.02082
RL,0.17502,0.21898,0.28186,0.37093,0.11985,0.14105,0.14892,0.14374,0.14187,0.17104,0.19402,0.20576
RSU,0.04467,0.05957,0.08419,0.1355,0.02145,0.02561,0.02678,0.02671,0.02873,0.03549,0.04019,0.04387
RS,0.03208,0.05174,0.07878,0.13167,0.01515,0.02191,0.02485,0.02579,0.02041,0.0305,0.03737,0.04239


O
R4,0.00412,0.00546,0.00811,0.01413,0.00427,0.00458,0.00547,0.0068,0.00419,0.00496,0.00652,0.00914
RW,0.08587,0.08929,0.10402,0.12441,0.12089,0.11489,0.11281,0.10273,0.09978,0.0998,0.10718,0.10914
R1,0.1662,0.19495,0.25718,0.33632,0.15074,0.1616,0.17712,0.17333,0.15708,0.17548,0.20765,0.22281
R2,0.04152,0.04107,0.05706,0.07742,0.03737,0.03324,0.03844,0.03841,0.03905,0.03652,0.0455,0.05008
R3,0.00944,0.01187,0.01656,0.02743,0.00866,0.00949,0.01105,0.01294,0.00897,0.0105,0.0132,0.01744
RL,0.15686,0.18487,0.24288,0.31862,0.14189,0.15285,0.16725,0.16403,0.14806,0.16617,0.19609,0.21083
RSU,0.03871,0.04202,0.06591,0.10418,0.03142,0.02938,0.03525,0.03518,0.03381,0.03377,0.04445,0.04809
RS,0.02869,0.03543,0.06128,0.10072,0.02272,0.02445,0.0325,0.03365,0.02467,0.02824,0.0411,0.0462


P
R4,0.007,0.00713,0.01112,0.0221,0.0051,0.00541,0.00683,0.00991,0.00585,0.00614,0.00843,0.01357
RW,0.096,0.10424,0.11902,0.14472,0.1261,0.12414,0.11606,0.10394,0.10853,0.11298,0.11685,0.11959
R1,0.20499,0.24576,0.30363,0.3941,0.17338,0.18772,0.18795,0.17732,0.18718,0.21222,0.23101,0.24238
R2,0.0546,0.06233,0.07338,0.10955,0.04462,0.04701,0.04472,0.04882,0.0489,0.05345,0.0553,0.0669
R3,0.01599,0.01854,0.02413,0.04308,0.01248,0.01418,0.01464,0.01904,0.01392,0.01604,0.01814,0.02616
RL,0.17947,0.22312,0.27967,0.37143,0.15181,0.17052,0.17324,0.16723,0.16392,0.19273,0.21285,0.22854
RSU,0.05563,0.06366,0.08891,0.13909,0.03973,0.03833,0.03897,0.03748,0.04572,0.04737,0.05341,0.05765
RS,0.04392,0.0558,0.08368,0.1353,0.03084,0.03328,0.03646,0.03628,0.03571,0.04127,0.05006,0.05586


R
R4,0.01401,0.00962,0.01544,0.01441,0.01656,0.00705,0.01042,0.01148,0.01477,0.00812,0.01238,0.0126
RW,0.10046,0.10448,0.11434,0.10603,0.14751,0.13636,0.13085,0.13899,0.11691,0.11744,0.12045,0.11603
R1,0.19912,0.23733,0.28817,0.28116,0.18925,0.19918,0.20914,0.23085,0.19013,0.21483,0.23912,0.24469
R2,0.05846,0.05995,0.0778,0.07723,0.05682,0.0484,0.05598,0.06406,0.05619,0.0532,0.06425,0.06769
R3,0.02218,0.01878,0.02729,0.02779,0.02323,0.01414,0.01879,0.02234,0.02208,0.0161,0.02206,0.02415
RL,0.18507,0.22038,0.26895,0.26718,0.17556,0.18471,0.19507,0.21873,0.17656,0.19934,0.22311,0.23222
RSU,0.05229,0.06,0.08056,0.07312,0.05081,0.0429,0.04732,0.06101,0.04714,0.04861,0.05683,0.05866
