ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.00749,0.01397,-,0.0,0.00741,0.01474,-,0.0,0.00742,0.01427,-
RW,0.06248,0.11144,0.12229,-,0.10616,0.18229,0.18691,-,0.07715,0.13755,0.14743,-
R1,0.09342,0.22738,0.27794,-,0.10956,0.2451,0.28308,-,0.09903,0.2346,0.27986,-
R2,0.02106,0.07068,0.0841,-,0.02507,0.07551,0.0856,-,0.02244,0.07257,0.08464,-
R3,0.0,0.02081,0.0303,-,0.0,0.02165,0.03124,-,0.0,0.02112,0.03066,-
RL,0.08841,0.21048,0.26005,-,0.10416,0.22694,0.26496,-,0.09384,0.21718,0.26189,-
RSU,0.02962,0.05589,0.07337,-,0.03991,0.06477,0.07596,-,0.03177,0.05887,0.07398,-
RS,0.01046,0.04489,0.0665,-,0.01284,0.05201,0.06884,-,0.01065,0.04727,0.06703,-


