ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.01813,0.01645,0.02184,0.02534,0.0176,0.01276,0.01406,0.01315,0.01769,0.01435,0.01705,0.01708
RW,0.11637,0.12054,0.1379,0.15144,0.16591,0.14801,0.13995,0.11937,0.13589,0.13231,0.1382,0.1313
R1,0.24116,0.27973,0.3464,0.41506,0.22045,0.21976,0.2233,0.20607,0.2287,0.24511,0.27016,0.27187
R2,0.07858,0.07916,0.10076,0.11742,0.07202,0.06124,0.06436,0.05811,0.07454,0.06884,0.07816,0.07665
R3,0.03238,0.0306,0.04043,0.04747,0.02965,0.02373,0.02589,0.02376,0.03069,0.02667,0.03143,0.03121
RL,0.21608,0.25567,0.32612,0.39385,0.19844,0.20111,0.21044,0.19552,0.20542,0.22419,0.25449,0.25789
RSU,0.07092,0.07543,0.1039,0.13975,0.061,0.04755,0.04914,0.04498,0.06362,0.05752,0.06578,0.06512
RS,0.05736,0.06671,0.09801,0.13564,0.04922,0.04157,0.0461,0.04343,0.05122,0.0505,0.06181,0.06293


