ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.00781,0.00763,0.01073,0.0,0.0079,0.00391,0.00268,0.0,0.00783,0.00517,0.00428
RW,0.06248,0.11396,0.15916,0.21236,0.10616,0.17815,0.12676,0.08681,0.07715,0.13828,0.14072,0.12264
R1,0.09342,0.22756,0.33676,0.46068,0.10956,0.23978,0.18019,0.12642,0.09903,0.23229,0.23418,0.19763
R2,0.02106,0.06787,0.09476,0.13347,0.02507,0.0713,0.04995,0.03571,0.02244,0.06913,0.06526,0.05615
R3,0.0,0.01984,0.02588,0.03811,0.0,0.02056,0.01343,0.00982,0.0,0.02011,0.01765,0.01558
RL,0.08841,0.2117,0.30901,0.42522,0.10416,0.22278,0.16546,0.11675,0.09384,0.216,0.21498,0.18249
RSU,0.02962,0.0516,0.10699,0.18877,0.03991,0.05713,0.03131,0.01456,0.03177,0.05327,0.04809,0.02684
RS,0.01046,0.04001,0.09207,0.17102,0.01284,0.04421,0.02624,0.01258,0.01065,0.04126,0.04054,0.02328


