ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.01591,0.0113,0.02108,0.02805,0.01362,0.0097,0.01771,0.01512,0.01465,0.0104,0.01922,0.01951
RW,0.11511,0.11798,0.13019,0.15993,0.1622,0.15681,0.17422,0.13641,0.13341,0.13396,0.14866,0.14623
R1,0.23576,0.27261,0.33312,0.43138,0.21547,0.23341,0.28822,0.23661,0.22338,0.25031,0.30835,0.30375
R2,0.07456,0.07547,0.09626,0.12346,0.0666,0.0634,0.08195,0.06657,0.0698,0.06861,0.08836,0.08598
R3,0.02675,0.0253,0.03909,0.04965,0.02237,0.02115,0.03299,0.02669,0.02431,0.02293,0.03572,0.0345
RL,0.21319,0.25202,0.31464,0.40835,0.19484,0.2162,0.2723,0.22425,0.20198,0.23164,0.29128,0.28776
RSU,0.06774,0.07257,0.09726,0.16058,0.05532,0.05229,0.07223,0.04886,0.05913,0.05972,0.08223,0.07337
RS,0.05447,0.0646,0.09253,0.15593,0.04331,0.04602,0.06845,0.04705,0.04683,0.05278,0.07805,0.07079


