ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.00185,0.01307,0.01397,0.01363,0.00132,0.01349,0.01474,0.01528,0.00154,0.01321,0.01427,0.01411
RW,0.05848,0.1119,0.12229,0.12827,0.09767,0.18062,0.18691,0.19485,0.07222,0.13756,0.14743,0.15389
R1,0.08588,0.23001,0.27794,0.33109,0.09853,0.2461,0.28308,0.3363,0.09049,0.23666,0.27986,0.33216
R2,0.02337,0.08157,0.0841,0.09463,0.02465,0.08645,0.0856,0.09734,0.02365,0.0835,0.08464,0.09533
R3,0.00309,0.02947,0.0303,0.03182,0.00232,0.03084,0.03124,0.03387,0.00265,0.03,0.03066,0.0324
RL,0.08458,0.20931,0.26005,0.31291,0.09732,0.22419,0.26496,0.31777,0.08924,0.21546,0.26189,0.31389
RSU,0.02644,0.06092,0.07337,0.09116,0.03396,0.06891,0.07596,0.09374,0.02811,0.06364,0.07398,0.09084
RS,0.01031,0.04981,0.0665,0.08701,0.01194,0.05615,0.06884,0.0894,0.01039,0.05194,0.06703,0.08666


