ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.0027,0.00375,0.00598,0.0,0.0026,0.00246,0.00275,0.0,0.00264,0.00296,0.00376
RW,0.10442,0.08563,0.10106,0.12046,0.13175,0.12324,0.10888,0.09101,0.11318,0.10043,0.10439,0.10336
R1,0.15963,0.16985,0.22263,0.29445,0.13834,0.15994,0.15499,0.14108,0.14419,0.16367,0.18209,0.19031
R2,0.02527,0.03603,0.04759,0.06291,0.02505,0.03346,0.03224,0.02975,0.02421,0.03449,0.0383,0.0403
R3,0.00295,0.0083,0.01105,0.01662,0.003,0.00761,0.00749,0.00778,0.00297,0.00789,0.00889,0.01058
RL,0.1505,0.15606,0.20401,0.27139,0.13132,0.14736,0.14208,0.12995,0.13649,0.15058,0.16689,0.17534
RSU,0.0475,0.0323,0.0446,0.06841,0.03852,0.03317,0.02798,0.02435,0.03892,0.03201,0.03387,0.03558
RS,0.01694,0.02301,0.03771,0.06304,0.01534,0.02354,0.02351,0.02228,0.01451,0.02275,0.02851,0.03261


19
R4,0.0085,0.00627,0.00951,0.01408,0.00584,0.00496,0.00626,0.00625,0.00683,0.00551,0.0075,0.00863
RW,0.16901,0.1173,0.1289,0.15085,0.23858,0.14928,0.13499,0.10948,0.18995,0.13014,0.1312,0.12641
R1,0.276,0.23799,0.28864,0.3657,0.26587,0.19824,0.1948,0.16805,0.25986,0.21434,0.23155,0.22964
R2,0.09012,0.06754,0.07773,0.10073,0.09243,0.05591,0.05223,0.04594,0.08593,0.06066,0.06219,0.06292
R3,0.02057,0.01917,0.02302,0.03336,0.01586,0.01555,0.01549,0.01515,0.0175,0.01709,0.01842,0.02078
RL,0.24889,0.21651,0.26724,0.34363,0.242,0.18011,0.18037,0.15782,0.23521,0.1948,0.2144,0.2157
RSU,0.10467,0.05856,0.07229,0.10584,0.11214,0.04816,0.04326,0.03516,0.0916,0.05106,0.05322,0.05225
RS,0.05939,0.04636,0.06398,0.09963,0.05912,0.0379,0.0381,0.03289,0.05011,0.04024,0.04693,0.04894


2
R4,-,0.0041,0.00417,0.00483,-,0.00401,0.00323,0.00247,-,0.00404,0.00364,0.00326
RW,-,0.07914,0.08967,0.10091,-,0.11861,0.10351,0.08361,-,0.09409,0.09573,0.09103
R1,-,0.14796,0.18752,0.23206,-,0.14479,0.13982,0.12154,-,0.14509,0.15967,0.15891
R2,-,0.04049,0.04368,0.05237,-,0.04117,0.03258,0.02696,-,0.04044,0.03719,0.03547
R3,-,0.01126,0.01204,0.01456,-,0.01158,0.00906,0.00744,-,0.01134,0.01031,0.00982
RL,-,0.13781,0.17875,0.22058,-,0.13484,0.1333,0.11557,-,0.13514,0.1522,0.15109
RSU,-,0.02644,0.03295,0.04651,-,0.02964,0.02394,0.02001,-,0.02706,0.02741,0.02757
RS,-,0.01827,0.02703,0.04213,-,0.02062,0.01959,0.01804,-,0.01872,0.02245,0.02488


20
