ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00345,0.0047,0.0056,-,0.00301,0.00418,0.00511,-,0.00321,0.00441,0.00533,-
RW,0.07475,0.07809,0.07899,-,0.10675,0.11073,0.11001,-,0.08724,0.0911,0.09158,-
R1,0.15003,0.17197,0.19399,-,0.13904,0.15689,0.17371,-,0.14337,0.16323,0.18261,-
R2,0.03913,0.04193,0.04228,-,0.03551,0.0368,0.03714,-,0.03698,0.039,0.03938,-
R3,0.01014,0.01282,0.01291,-,0.00883,0.01122,0.01137,-,0.00942,0.01192,0.01205,-
RL,0.13499,0.15975,0.18543,-,0.12525,0.14605,0.16602,-,0.12903,0.1518,0.17453,-
RSU,0.03292,0.03429,0.03976,-,0.02781,0.02733,0.03081,-,0.0294,0.02982,0.03422,-
RS,0.02364,0.02866,0.03657,-,0.01946,0.0224,0.02813,-,0.02079,0.02464,0.03133,-


2
R4,0.00978,0.0194,0.01689,-,0.00855,0.01623,0.01449,-,0.00911,0.01762,0.01558,-
RW,0.10814,0.1093,0.11543,-,0.1454,0.14241,0.15016,-,0.12316,0.12304,0.13015,-
R1,0.22123,0.25118,0.2955,-,0.19383,0.21067,0.2477,-,0.20543,0.22806,0.26892,-
R2,0.06208,0.07141,0.08218,-,0.05337,0.05915,0.06892,-,0.05711,0.06443,0.07482,-
R3,0.02286,0.03344,0.0332,-,0.01954,0.02785,0.02811,-,0.021,0.03029,0.03039,-
RL,0.20176,0.23243,0.28015,-,0.17597,0.19498,0.23477,-,0.18691,0.21107,0.25492,-
RSU,0.06017,0.06911,0.08289,-,0.04743,0.04937,0.05912,-,0.05208,0.05665,0.06851,-
RS,0.04771,0.06175,0.07847,-,0.03735,0.04387,0.05583,-,0.04115,0.05044,0.06476,-


L
R4,0.00998,0.01244,0.01672,-,0.00969,0.01031,0.01455,-,0.00975,0.01123,0.01554,-
RW,0.08792,0.10205,0.11102,-,0.13488,0.13634,0.14591,-,0.10525,0.11627,0.12585,-
R1,0.18141,0.2341,0.28429,-,0.1811,0.20078,0.24043,-,0.17929,0.21546,0.26017,-
R2,0.04859,0.06215,0.07567,-,0.04876,0.05177,0.06403,-,0.04803,0.0563,0.06927,-
R3,0.01731,0.02385,0.03002,-,0.01696,0.01962,0.02572,-,0.01697,0.02146,0.02767,-
RL,0.16237,0.21536,0.26799,-,0.16161,0.1853,0.22679,-,0.16028,0.19857,0.24534,-
RSU,0.04188,0.05686,0.07593,-,0.04294,0.04204,0.05498,-,0.04059,0.04773,0.06347,-
RS,0.03079,0.04966,0.07161,-,0.03148,0.03649,0.05173,-,0.0297,0.04153,0.05977,-


M
R4,0.00099,0.0038,0.00727,-,0.00091,0.00327,0.00678,-,0.00095,0.00351,0.007,-
RW,0.0754,0.0899,0.09135,-,0.11449,0.12717,0.13064,-,0.09003,0.10473,0.10718,-
R1,0.1538,0.20261,0.22982,-,0.1518,0.18478,0.21165,-,0.15137,0.19235,0.2198,-
R2,0.03436,0.04403,0.05203,-,0.03271,0.0393,0.04798,-,0.03326,0.04137,0.0498,-
R3,0.0034,0.01151,0.01687,-,0.00299,0.00971,0.01571,-,0.00317,0.01052,0.01623,-
RL,0.13963,0.18783,0.21863,-,0.1376,0.17174,0.20144,-,0.13727,0.17854,0.20914,-
RSU,0.02927,0.0424,0.04849,-,0.02977,0.03552,0.04127,-,0.02839,0.03796,0.04414,-
RS,0.01974,0.03589,0.04472,-,0.02028,0.02989,0.03797,-,0.01918,0.03201,0.04066,-


N
R4,0.00803,0.01093,0.0143,-,0.00549,0.00789,0.0099,-,0.0065,0.00915,0.01168,-
RW,0.0938,0.1041,0.11416,-,0.10059,0.11439,0.12349,-,0.09676,0.10857,0.11831,-
R1,0.19918,0.2427,0.29496,-,0.13842,0.17083,0.2056,-,0.16295,0.1999,0.24187,-
R2,0.04938,0.06239,0.07816,-,0.03409,0.04354,0.05401,-,0.04022,0.05116,0.06378,-
R3,0.01655,0.02225,0.02865,-,0.01139,0.01567,0.0197,-,0.01346,0.01834,0.02331,-
RL,0.17434,0.22269,0.27634,-,0.12148,0.15711,0.19243,-,0.14284,0.18367,0.22646,-
RSU,0.04505,0.05934,0.07978,-,0.02224,0.02972,0.03919,-,0.02957,0.03921,0.05224,-
RS,0.03311,0.05194,0.07533,-,0.01604,0.0257,0.03679,-,0.02146,0.03405,0.04914,-


O
R4,0.00202,0.00276,0.00827,-,0.00162,0.00253,0.00733,-,0.0018,0.00263,0.00774,-
RW,0.08699,0.08568,0.09744,-,0.12279,0.11973,0.13764,-,0.10115,0.09932,0.11307,-
R1,0.16458,0.19112,0.24591,-,0.15148,0.1717,0.22381,-,0.15679,0.17992,0.23219,-
R2,0.04064,0.03565,0.05491,-,0.03646,0.03129,0.04932,-,0.03816,0.03316,0.05147,-
R3,0.00689,0.00788,0.01684,-,0.00562,0.00694,0.01472,-,0.00615,0.00734,0.01565,-
RL,0.15854,0.17972,0.2349,-,0.14551,0.16133,0.21331,-,0.15082,0.1691,0.22159,-
RSU,0.03608,0.03951,0.06085,-,0.02998,0.03136,0.05043,-,0.03202,0.03422,0.05315,-
RS,0.02633,0.0334,0.05703,-,0.02135,0.02617,0.04703,-,0.02303,0.0287,0.04966,-


P
R4,0.00656,0.00675,0.01363,-,0.0051,0.00532,0.01126,-,0.00571,0.00593,0.01231,-
RW,0.10094,0.10859,0.11082,-,0.13435,0.14087,0.14044,-,0.11476,0.12225,0.12362,-
R1,0.20771,0.25221,0.2839,-,0.18008,0.21018,0.23185,-,0.19228,0.22865,0.25489,-
R2,0.05338,0.06635,0.07289,-,0.04518,0.05421,0.05948,-,0.04878,0.05951,0.06541,-
R3,0.0141,0.0203,0.02599,-,0.01142,0.01645,0.02126,-,0.01256,0.01812,0.02336,-
RL,0.1876,0.23188,0.2685,-,0.16244,0.19363,0.21928,-,0.17355,0.21047,0.24106,-
RSU,0.05517,0.06633,0.07929,-,0.04151,0.04601,0.05355,-,0.04681,0.05378,0.06358,-
RS,0.04338,0.05883,0.07505,-,0.03214,0.04046,0.05053,-,0.03646,0.04744,0.06007,-


R
R4,0.01377,0.01304,0.01371,-,0.01656,0.01077,0.01215,-,0.01459,0.01178,0.01281,-
RW,0.10226,0.10477,0.10498,-,0.15231,0.14841,0.15514,-,0.11973,0.12178,0.12409,-
R1,0.20374,0.24199,0.2711,-,0.19794,0.22103,0.25736,-,0.19677,0.22889,0.26167,-
R2,0.06065,0.06731,0.07481,-,0.06058,0.0595,0.07008,-,0.05916,0.06263,0.07173,-
R3,0.02221,0.02336,0.02588,-,0.02363,0.01979,0.02337,-,0.02223,0.02131,0.0244,-
RL,0.18827,0.22397,0.25496,-,0.18242,0.20436,0.24225,-,0.18161,0.21174,0.24621,-
RSU,0.05418,0.06227,0.0709,-,0.05374,0.05117,0.06301,-,0.0494,0.05426,0.06438,-
RS,0.04246,0.05497,0.06678,-,0.04225,0.04454,0.0591,-,0.03838,0.04753,0.06047,-


S
R4,0.01015,0.01504,0.01724,-,0.01708,0.01592,0.01499,-,0.0126,0.01538,0.01601,-
RW,0.06943,0.09052,0.11046,-,0.13737,0.14168,0.14938,-,0.09068,0.10962,0.1266,-
R1,0.14141,0.20715,0.28489,-,0.1783,0.20845,0.24773,-,0.15501,0.20635,0.26435,-
R2,0.03914,0.05779,0.07901,-,0.0516,0.0588,0.06854,-,0.04366,0.05786,0.07322,-
R3,0.01513,0.02355,0.03134,-,0.02256,0.02408,0.02712,-,0.01775,0.02367,0.02903,-
RL,0.12431,0.18911,0.26824,-,0.15891,0.19078,0.23313,-,0.13712,0.18863,0.24883,-
RSU,0.02882,0.04478,0.07349,-,0.04824,0.04747,0.05587,-,0.03377,0.0448,0.06286,-
RS,0.02,0.0383,0.06914,-,0.0347,0.04088,0.05241,-,0.02349,0.0384,0.05903,-


T
R4,0.01031,0.01239,0.01731,-,0.00996,0.01119,0.01559,-,0.01011,0.01173,0.0164,-
RW,0.11639,0.10858,0.11452,-,0.16775,0.1541,0.15898,-,0.13658,0.12695,0.1329,-
