ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00749,0.0042,0.0056,0.00822,0.00586,0.00369,0.00511,0.00802,0.00656,0.0039,0.00533,0.00807
RW,0.07739,0.07636,0.07899,0.08291,0.10755,0.10502,0.11001,0.1275,0.08927,0.08796,0.09158,0.09986
R1,0.15049,0.16539,0.19399,0.23478,0.13419,0.14648,0.17371,0.23195,0.14086,0.15465,0.18261,0.23177
R2,0.04374,0.03916,0.04228,0.0464,0.03788,0.03319,0.03714,0.04519,0.04034,0.03575,0.03938,0.04548
R3,0.01648,0.01268,0.01291,0.01552,0.0134,0.01065,0.01137,0.01508,0.01473,0.01151,0.01205,0.0152
RL,0.1368,0.15412,0.18543,0.22626,0.12213,0.1366,0.16602,0.22362,0.12808,0.14416,0.17453,0.22342
RSU,0.03589,0.03462,0.03976,0.05434,0.02806,0.02556,0.03081,0.0518,0.03071,0.02888,0.03422,0.05156
RS,0.02646,0.02911,0.03657,0.05248,0.02009,0.02096,0.02813,0.04991,0.02227,0.02394,0.03133,0.04972


2
R4,0.02952,0.02325,0.01689,0.02146,0.02504,0.01878,0.01449,0.02498,0.02704,0.02072,0.01558,0.0227
RW,0.11973,0.11319,0.11543,0.10442,0.15694,0.14348,0.15016,0.1905,0.13459,0.12592,0.13015,0.13305
R1,0.2414,0.25836,0.2955,0.30379,0.20518,0.21081,0.2477,0.35543,0.22025,0.23129,0.26892,0.32265
R2,0.08611,0.0785,0.08218,0.09285,0.07266,0.06326,0.06892,0.10767,0.0785,0.06982,0.07482,0.09818
R3,0.04717,0.03876,0.0332,0.03897,0.03987,0.03137,0.02811,0.045,0.04308,0.03457,0.03039,0.0411
RL,0.21945,0.23946,0.28015,0.28917,0.18533,0.19494,0.23477,0.33802,0.19958,0.21412,0.25492,0.30695
RSU,0.07681,0.07391,0.08289,0.08637,0.05675,0.04928,0.05912,0.11505,0.06393,0.05834,0.06851,0.09309
RS,0.06357,0.06635,0.07847,0.08414,0.04651,0.04384,0.05583,0.11198,0.05266,0.05208,0.06476,0.09059


L
R4,0.0068,0.01302,0.01672,0.02227,0.00715,0.01093,0.01455,0.01901,0.00694,0.01184,0.01554,0.0205
RW,0.08885,0.10346,0.11102,0.12484,0.13239,0.1344,0.14591,0.1649,0.10507,0.11647,0.12585,0.14195
R1,0.1736,0.23284,0.28429,0.35979,0.16824,0.19456,0.24043,0.3056,0.16897,0.21136,0.26017,0.33027
R2,0.04535,0.06148,0.07567,0.10292,0.04451,0.05072,0.06403,0.08713,0.04429,0.05541,0.06927,0.09431
R3,0.014,0.02377,0.03002,0.04101,0.01368,0.01958,0.02572,0.03479,0.01373,0.0214,0.02767,0.03762
RL,0.15999,0.21694,0.26799,0.34451,0.1544,0.18144,0.22679,0.29266,0.15543,0.19703,0.24534,0.31627
RSU,0.04152,0.05876,0.07593,0.1145,0.04003,0.04152,0.05498,0.08258,0.039,0.04812,0.06347,0.09572
RS,0.03075,0.05155,0.07161,0.11197,0.02949,0.03624,0.05173,0.08062,0.02872,0.04207,0.05977,0.09351


M
R4,0.00849,0.00793,0.00727,0.01893,0.00829,0.0071,0.00678,0.01798,0.00835,0.00748,0.007,0.01841
RW,0.0808,0.08927,0.09135,0.11027,0.11938,0.12511,0.13064,0.16399,0.09573,0.10383,0.10718,0.13166
R1,0.16212,0.19812,0.22982,0.32202,0.1547,0.17866,0.21165,0.30807,0.1574,0.18733,0.2198,0.31446
R2,0.04417,0.04878,0.05203,0.0896,0.04045,0.04404,0.04798,0.08532,0.04205,0.04617,0.0498,0.08729
R3,0.01281,0.01649,0.01687,0.03448,0.01225,0.01466,0.01571,0.03278,0.01247,0.01549,0.01623,0.03356
RL,0.14669,0.18475,0.21863,0.30581,0.13915,0.16647,0.20144,0.29246,0.142,0.17461,0.20914,0.29858
RSU,0.03554,0.04171,0.04849,0.09335,0.03353,0.03419,0.04127,0.08535,0.0338,0.03718,0.04414,0.08871
RS,0.02541,0.03522,0.04472,0.09099,0.024,0.02871,0.03797,0.08313,0.02417,0.0313,0.04066,0.08643


N
R4,0.0103,0.00998,0.0143,0.02133,0.00653,0.00711,0.0099,0.01533,0.00797,0.00827,0.01168,0.01782
RW,0.09797,0.10169,0.11416,0.12475,0.10215,0.10906,0.12349,0.13916,0.09953,0.10481,0.11831,0.13131
R1,0.20239,0.23196,0.29496,0.36876,0.1361,0.15989,0.2056,0.26458,0.16222,0.18879,0.24187,0.30775
R2,0.05835,0.0585,0.07816,0.10347,0.03827,0.04042,0.05401,0.07412,0.04609,0.04766,0.06378,0.08627
R3,0.01996,0.02014,0.02865,0.04074,0.01278,0.01405,0.0197,0.02918,0.01554,0.01649,0.02331,0.03396
RL,0.18072,0.21391,0.27634,0.34951,0.12169,0.14726,0.19243,0.25069,0.14494,0.17395,0.22646,0.29163
RSU,0.04774,0.05785,0.07978,0.12118,0.02214,0.0277,0.03919,0.06259,0.02995,0.03714,0.05224,0.08221
RS,0.03532,0.05069,0.07533,0.11862,0.01603,0.02394,0.03679,0.0611,0.02184,0.03225,0.04914,0.08033


O
R4,0.00911,0.00736,0.00827,0.01581,0.00794,0.00671,0.00733,0.01485,0.0084,0.00696,0.00774,0.015
RW,0.08999,0.0881,0.09744,0.10621,0.12441,0.11953,0.13764,0.15909,0.10351,0.10075,0.11307,0.12472
R1,0.17468,0.19407,0.24591,0.30749,0.15551,0.17024,0.22381,0.29361,0.16332,0.18037,0.23219,0.29403
R2,0.04699,0.04213,0.05491,0.07572,0.04059,0.0366,0.04932,0.0715,0.04324,0.03895,0.05147,0.07183
R3,0.01649,0.01296,0.01684,0.02828,0.01379,0.01137,0.01472,0.02619,0.01489,0.01202,0.01565,0.02674
RL,0.1646,0.18475,0.2349,0.29291,0.14623,0.1617,0.21331,0.27967,0.15374,0.1715,0.22159,0.28006
RSU,0.04449,0.04226,0.06085,0.0901,0.03445,0.03218,0.05043,0.08051,0.0377,0.03574,0.05315,0.07945
RS,0.03407,0.03599,0.05703,0.08785,0.02562,0.02707,0.04703,0.07815,0.02833,0.0302,0.04966,0.07734


P
R4,0.00602,0.00886,0.01363,0.02277,0.00446,0.00687,0.01126,0.01905,0.00511,0.00771,0.01231,0.02073
RW,0.09567,0.10386,0.11082,0.12764,0.12327,0.13104,0.14044,0.16473,0.10715,0.11547,0.12362,0.14361
R1,0.19793,0.24107,0.2839,0.37261,0.16473,0.1954,0.23185,0.30911,0.17923,0.21534,0.25489,0.33755
R2,0.05257,0.06201,0.07289,0.10841,0.04289,0.04929,0.05948,0.08982,0.04712,0.05479,0.06541,0.09815
R3,0.01596,0.021,0.02599,0.0431,0.01262,0.01655,0.02126,0.03581,0.01406,0.01846,0.02336,0.03909
RL,0.17726,0.22275,0.2685,0.35501,0.14735,0.18074,0.21928,0.29454,0.16041,0.19909,0.24106,0.32162
RSU,0.05546,0.06421,0.07929,0.12674,0.03848,0.04192,0.05355,0.08767,0.04501,0.05028,0.06358,0.10323
RS,0.04405,0.05691,0.07505,0.12421,0.03004,0.03676,0.05053,0.08578,0.0354,0.04427,0.06007,0.10107


R
R4,0.01441,0.0113,0.01371,0.01346,0.01726,0.00905,0.01215,0.01885,0.0152,0.00998,0.01281,0.01552
RW,0.0946,0.10135,0.10498,0.08482,0.1364,0.14042,0.15514,0.19951,0.1092,0.11671,0.12409,0.11677
R1,0.18561,0.23288,0.2711,0.24296,0.17387,0.20817,0.25736,0.36508,0.1758,0.21786,0.26167,0.28553
R2,0.05311,0.06165,0.07481,0.06851,0.05275,0.05369,0.07008,0.10305,0.05149,0.05686,0.07173,0.08064
R3,0.02425,0.02088,0.02588,0.02476,0.02555,0.01744,0.02337,0.03586,0.02411,0.01882,0.0244,0.02882
RL,0.17171,0.21473,0.25496,0.23166,0.16036,0.19181,0.24225,0.34817,0.1624,0.20081,0.24621,0.27228
RSU,0.04862,0.05908,0.0709,0.05755,0.047,0.04634,0.06301,0.12319,0.04357,0.05012,0.06438,0.07338
