ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
RL,-,0.19981,0.2346,-,-,0.2132,0.23798,-,-,0.20498,0.23551,-
RSU,-,0.05221,0.05949,-,-,0.06147,0.06142,-,-,0.05499,0.05964,-
RS,-,0.0412,0.053,-,-,0.04913,0.05476,-,-,0.04355,0.05313,-


29
R4,0.0,0.00605,0.00789,-,0.0,0.0066,0.00837,-,0.0,0.00627,0.00809,-
RW,0.15525,0.0979,0.09829,-,0.14621,0.1952,0.16504,-,0.14944,0.12532,0.1224,-
R1,0.26508,0.19788,0.22062,-,0.17656,0.25575,0.24749,-,0.2108,0.21379,0.23188,-
R2,0.04842,0.05507,0.05553,-,0.02857,0.07242,0.06116,-,0.03574,0.05972,0.05791,-
R3,0.00367,0.01616,0.01796,-,0.00206,0.01902,0.01938,-,0.00264,0.01711,0.01856,-
RL,0.22999,0.18229,0.20724,-,0.15212,0.23674,0.23251,-,0.18211,0.19719,0.21784,-
RSU,0.0985,0.04465,0.04543,-,0.04447,0.07451,0.05661,-,0.06034,0.04928,0.04939,-
RS,0.04502,0.03488,0.03946,-,0.01803,0.05774,0.04918,-,0.02537,0.03826,0.0429,-


3
R4,-,0.00811,0.01046,-,-,0.00844,0.01105,-,-,0.00826,0.01072,-
RW,-,0.1019,0.10971,-,-,0.16639,0.17091,-,-,0.12561,0.13315,-
R1,-,0.20947,0.2501,-,-,0.22471,0.25979,-,-,0.21553,0.25393,-
R2,-,0.06213,0.06892,-,-,0.06709,0.07132,-,-,0.06412,0.06985,-
R3,-,0.01891,0.02351,-,-,0.02012,0.0245,-,-,0.01942,0.02391,-
RL,-,0.18922,0.23282,-,-,0.20333,0.24198,-,-,0.19491,0.23645,-
RSU,-,0.04705,0.06041,-,-,0.05416,0.06584,-,-,0.04926,0.06215,-
RS,-,0.03661,0.05399,-,-,0.04208,0.05896,-,-,0.03827,0.05557,-
