ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00593,0.0047,0.00317,0.00529,0.00508,0.00418,0.00298,0.00317,0.00545,0.00441,0.00306,0.00395
RW,0.07541,0.07809,0.07974,0.10623,0.10802,0.11073,0.11426,0.09887,0.08802,0.0911,0.09354,0.1017
R1,0.15202,0.17197,0.20075,0.28573,0.14002,0.15689,0.18554,0.17056,0.14466,0.16323,0.19204,0.21203
R2,0.04342,0.04193,0.03924,0.05502,0.03853,0.0368,0.03572,0.03233,0.04058,0.039,0.03723,0.04044
R3,0.01495,0.01282,0.00924,0.01322,0.01284,0.01122,0.00844,0.00784,0.01377,0.01192,0.00879,0.00978
RL,0.13705,0.15975,0.19008,0.27142,0.12687,0.14605,0.1756,0.16217,0.1307,0.1518,0.18181,0.20151
RSU,0.03454,0.03429,0.042,0.07905,0.02859,0.02733,0.03489,0.02843,0.03035,0.02982,0.03755,0.04075
RS,0.02509,0.02866,0.03879,0.07551,0.02006,0.0224,0.03204,0.02693,0.0216,0.02464,0.03457,0.03869


2
R4,0.02814,0.0194,0.01708,0.02185,0.02442,0.01623,0.01472,0.01581,0.02606,0.01762,0.01579,0.01799
RW,0.1187,0.1093,0.11696,0.13105,0.15996,0.14241,0.15486,0.14481,0.13487,0.12304,0.13287,0.13536
R1,0.23873,0.25118,0.30152,0.35423,0.20979,0.21067,0.25766,0.25078,0.22151,0.22806,0.27713,0.28885
R2,0.08386,0.07141,0.08376,0.10249,0.07307,0.05915,0.07105,0.07113,0.07766,0.06443,0.07669,0.08255
R3,0.04428,0.03344,0.03341,0.04032,0.03834,0.02785,0.02853,0.02827,0.04094,0.03029,0.03072,0.03261
RL,0.21714,0.23243,0.28402,0.33298,0.19027,0.19498,0.24296,0.23592,0.20119,0.21107,0.26119,0.27161
RSU,0.07254,0.06911,0.08688,0.11958,0.05771,0.04937,0.06385,0.05909,0.0627,0.05665,0.07288,0.07435
RS,0.05951,0.06175,0.08254,0.11557,0.04714,0.04387,0.06049,0.05661,0.05135,0.05044,0.06911,0.07139


L
R4,0.00746,0.01244,0.01237,0.02319,0.00746,0.01031,0.01091,0.0117,0.00745,0.01123,0.01157,0.01554
RW,0.08407,0.10205,0.11104,0.15062,0.12928,0.13634,0.14834,0.11934,0.10055,0.11627,0.12674,0.13297
R1,0.17105,0.2341,0.28351,0.40293,0.17291,0.20078,0.24468,0.20529,0.16988,0.21546,0.2622,0.27169
R2,0.041,0.06215,0.06775,0.10876,0.04086,0.05177,0.05797,0.05497,0.04037,0.0563,0.06237,0.07295
R3,0.01255,0.02385,0.02465,0.04199,0.01207,0.01962,0.02131,0.02118,0.01228,0.02146,0.02282,0.02813
RL,0.15472,0.21536,0.26683,0.3823,0.15477,0.1853,0.23048,0.19482,0.15298,0.19857,0.24689,0.25781
RSU,0.0383,0.05686,0.07471,0.14829,0.04,0.04204,0.05586,0.03879,0.03741,0.04773,0.06352,0.0613
RS,0.02772,0.04966,0.07049,0.14392,0.0289,0.03649,0.05256,0.03734,0.02701,0.04153,0.05983,0.0591


M
R4,0.00095,0.0038,0.00763,0.01663,0.00091,0.00327,0.00707,0.00921,0.00093,0.00351,0.00732,0.01184
RW,0.07714,0.0899,0.09288,0.13478,0.11754,0.12717,0.13497,0.12002,0.09251,0.10473,0.10965,0.12669
R1,0.15697,0.20261,0.24029,0.36574,0.1545,0.18478,0.22568,0.20939,0.15474,0.19235,0.23198,0.26578
R2,0.0354,0.04403,0.0554,0.09344,0.03306,0.0393,0.05156,0.05286,0.03404,0.04137,0.05326,0.06739
R3,0.0039,0.01151,0.01735,0.03161,0.00343,0.00971,0.01612,0.01766,0.00364,0.01052,0.01667,0.02262
RL,0.14305,0.18783,0.22335,0.34505,0.14064,0.17174,0.20987,0.19753,0.14091,0.17854,0.21568,0.25074
RSU,0.03097,0.0424,0.055,0.1229,0.03035,0.03552,0.04844,0.04059,0.02995,0.03796,0.05084,0.06067
RS,0.02129,0.03589,0.05125,0.11873,0.02063,0.02989,0.04503,0.03892,0.02046,0.03201,0.0473,0.05828


N
R4,0.0111,0.01093,0.01423,0.02359,0.0074,0.00789,0.00995,0.01002,0.00886,0.00915,0.0117,0.01406
RW,0.09974,0.1041,0.11395,0.15255,0.10643,0.11439,0.1258,0.10209,0.10254,0.10857,0.11927,0.12212
R1,0.2153,0.2427,0.29776,0.41301,0.14871,0.17083,0.21244,0.17768,0.17541,0.1999,0.24742,0.24819
R2,0.05721,0.06239,0.07724,0.11242,0.0386,0.04354,0.05448,0.04803,0.04598,0.05116,0.06377,0.06724
R3,0.02149,0.02225,0.02781,0.04379,0.01426,0.01567,0.01949,0.01866,0.01711,0.01834,0.02288,0.02615
RL,0.18572,0.22269,0.27745,0.38797,0.12856,0.15711,0.19792,0.16685,0.15149,0.18367,0.23053,0.23308
RSU,0.0517,0.05934,0.08048,0.15444,0.02493,0.02972,0.04127,0.02894,0.03336,0.03921,0.05416,0.04861
RS,0.03897,0.05194,0.0761,0.15,0.01833,0.0257,0.03881,0.02785,0.02473,0.03405,0.05101,0.04684


O
R4,0.0017,0.00276,0.00797,0.01514,0.00149,0.00253,0.00703,0.00771,0.00158,0.00263,0.00744,0.0102
RW,0.08015,0.08568,0.09698,0.128,0.11387,0.11973,0.13981,0.1158,0.09331,0.09932,0.11349,0.11832
R1,0.15881,0.19112,0.24572,0.34412,0.14626,0.1717,0.22804,0.19877,0.15119,0.17992,0.23436,0.24533
R2,0.03352,0.03565,0.05442,0.08172,0.03027,0.03129,0.04954,0.04555,0.03159,0.03316,0.05133,0.0569
R3,0.00627,0.00788,0.01656,0.02957,0.00533,0.00694,0.01464,0.01534,0.00573,0.00734,0.01546,0.02006
RL,0.1485,0.17972,0.23338,0.32584,0.13618,0.16133,0.21674,0.18837,0.14107,0.1691,0.22262,0.23234
RSU,0.03415,0.03951,0.05982,0.11614,0.0283,0.03136,0.05111,0.0392,0.03018,0.03422,0.05316,0.05274
RS,0.0246,0.0334,0.05609,0.11223,0.01977,0.02617,0.04769,0.03738,0.02136,0.0287,0.04969,0.05053


P
R4,0.00432,0.00675,0.01085,0.02245,0.0036,0.00532,0.00899,0.0111,0.00392,0.00593,0.00982,0.01483
RW,0.10068,0.10859,0.11604,0.15244,0.13446,0.14087,0.14953,0.11791,0.11452,0.12225,0.13042,0.1327
R1,0.21188,0.25221,0.30245,0.41056,0.18343,0.21018,0.25207,0.20413,0.19598,0.22865,0.27453,0.27223
R2,0.05405,0.06635,0.07298,0.11362,0.04589,0.05421,0.06016,0.05604,0.04949,0.05951,0.06586,0.07494
R3,0.01414,0.0203,0.02316,0.04319,0.01179,0.01645,0.01909,0.02129,0.01284,0.01812,0.0209,0.02848
RL,0.18779,0.23188,0.2824,0.3882,0.16276,0.19363,0.23549,0.19314,0.17381,0.21047,0.2564,0.25751
RSU,0.05677,0.06633,0.08776,0.15739,0.04247,0.04601,0.06125,0.03942,0.04809,0.05378,0.07171,0.06276
RS,0.04481,0.05883,0.08342,0.15305,0.03301,0.04046,0.05803,0.03801,0.03763,0.04744,0.06803,0.06062


R
R4,0.01273,0.01304,0.01407,0.01295,0.01575,0.01077,0.0126,0.0115,0.01373,0.01178,0.01322,0.01205
RW,0.09821,0.10477,0.10614,0.10917,0.14724,0.14841,0.16009,0.15558,0.11517,0.12178,0.12649,0.12545
R1,0.1983,0.24199,0.27194,0.28846,0.19362,0.22103,0.26466,0.26317,0.1918,0.22889,0.2658,0.26887
R2,0.05496,0.06731,0.0766,0.0779,0.0564,0.0595,0.07354,0.07173,0.05427,0.06263,0.07433,0.0731
R3,0.02038,0.02336,0.02578,0.02574,0.02267,0.01979,0.02354,0.02301,0.02092,0.02131,0.02444,0.02394
RL,0.18203,0.22397,0.25595,0.27393,0.17681,0.20436,0.24928,0.24978,0.17573,0.21174,0.25029,0.2553
RSU,0.05199,0.06227,0.07316,0.08397,0.05302,0.05117,0.06756,0.06867,0.04803,0.05426,0.06766,0.06947
