ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RW,-,0.12438,0.12568,0.10917,-,0.10756,0.11482,0.15558,-,0.11417,0.11852,0.12545
R1,-,0.26228,0.30355,0.28846,-,0.1485,0.17983,0.26317,-,0.18782,0.22322,0.26887
R2,-,0.06059,0.0807,0.0779,-,0.03299,0.04704,0.07173,-,0.04236,0.05865,0.0731
R3,-,0.01679,0.02506,0.02574,-,0.00885,0.01354,0.02301,-,0.01153,0.01746,0.02394
RL,-,0.24235,0.28221,0.27393,-,0.13756,0.16683,0.24978,-,0.1738,0.20733,0.2553
RSU,-,0.07643,0.09468,0.08397,-,0.02467,0.0335,0.06867,-,0.03608,0.04705,0.06947
RS,-,0.06408,0.08775,0.08046,-,0.01987,0.03052,0.06534,-,0.02935,0.04299,0.06627


S
R4,-,0.00495,0.02011,0.02367,-,0.00285,0.01056,0.01247,-,0.00361,0.01382,0.01631
RW,-,0.1078,0.13203,0.14738,-,0.10072,0.10941,0.12082,-,0.1033,0.11906,0.13254
R1,-,0.23054,0.3231,0.39737,-,0.14151,0.17372,0.20934,-,0.17416,0.22506,0.27378
R2,-,0.04941,0.08625,0.10937,-,0.02942,0.04595,0.05724,-,0.03664,0.05971,0.07504
R3,-,0.01317,0.03293,0.04307,-,0.00752,0.01729,0.02255,-,0.00956,0.02263,0.02956
RL,-,0.20591,0.29621,0.37581,-,0.12636,0.15921,0.19809,-,0.15552,0.20628,0.25902
RSU,-,0.05819,0.09818,0.14155,-,0.02276,0.0291,0.03976,-,0.03193,0.04413,0.0618
RS,-,0.04666,0.09076,0.13717,-,0.01783,0.02651,0.03823,-,0.02515,0.04031,0.05952


T
R4,-,0.01525,0.01424,0.02362,-,0.00871,0.00801,0.01304,-,0.01101,0.01023,0.01677
RW,-,0.1384,0.139,0.14816,-,0.12005,0.11906,0.12941,-,0.12806,0.12793,0.13779
R1,-,0.28547,0.32872,0.39841,-,0.16201,0.18268,0.22376,-,0.20602,0.23438,0.28595
R2,-,0.07641,0.08471,0.11017,-,0.04258,0.04668,0.06114,-,0.05446,0.06007,0.07847
R3,-,0.02824,0.03204,0.04489,-,0.01592,0.01762,0.02483,-,0.02025,0.02269,0.03191
RL,-,0.26773,0.31197,0.37786,-,0.15189,0.17353,0.21232,-,0.19318,0.22257,0.27128
RSU,-,0.0883,0.10451,0.14524,-,0.02888,0.0326,0.04594,-,0.043,0.04937,0.06934
RS,-,0.07511,0.09707,0.14088,-,0.02386,0.02982,0.04421,-,0.03576,0.04532,0.06685


U
R4,-,0.00035,0.00142,0.00403,-,0.00019,0.00079,0.00226,-,0.00025,0.00102,0.00289
RW,-,0.09099,0.10379,0.11304,-,0.08122,0.09375,0.09955,-,0.08553,0.09803,0.10563
R1,-,0.18574,0.24342,0.30709,-,0.10868,0.14216,0.17355,-,0.13687,0.17881,0.2213
R2,-,0.02908,0.03797,0.04781,-,0.01674,0.0221,0.02694,-,0.02121,0.02785,0.0344
R3,-,0.00367,0.00597,0.00934,-,0.00211,0.00342,0.00529,-,0.00267,0.00434,0.00674
RL,-,0.17603,0.2329,0.29375,-,0.10286,0.13623,0.1661,-,0.12961,0.17125,0.21176
RSU,-,0.04037,0.05743,0.08581,-,0.01423,0.02007,0.02783,-,0.02092,0.02931,0.04176
RS,-,0.03096,0.05121,0.08202,-,0.01067,0.01767,0.02642,-,0.01578,0.02587,0.0397


W
R4,-,0.00088,0.00249,0.00443,-,0.0008,0.00144,0.00257,-,0.0008,0.00182,0.00324
RW,-,0.07076,0.08668,0.10854,-,0.07966,0.08513,0.10333,-,0.07233,0.08388,0.105
R1,-,0.14499,0.20623,0.29528,-,0.10439,0.13088,0.18118,-,0.11752,0.15663,0.2229
R2,-,0.01641,0.02673,0.05104,-,0.01246,0.01661,0.03047,-,0.01375,0.02028,0.03794
R3,-,0.00201,0.00438,0.01213,-,0.00177,0.00258,0.00712,-,0.00181,0.00324,0.00894
RL,-,0.13441,0.19422,0.27987,-,0.09774,0.12314,0.17159,-,0.1094,0.1474,0.21116
RSU,-,0.02525,0.04213,0.07821,-,0.01421,0.01743,0.02964,-,0.01626,0.02273,0.04199
RS,-,0.01755,0.03673,0.07448,-,0.00951,0.01478,0.02801,-,0.01115,0.01953,0.03976


Y
R4,-,0.00043,0.00826,0.01677,-,0.0002,0.0041,0.00846,-,0.00028,0.00547,0.01124
RW,-,0.12982,0.13245,0.14965,-,0.09904,0.11,0.12002,-,0.11182,0.11968,0.13299
R1,-,0.27853,0.31565,0.40486,-,0.13901,0.17037,0.20877,-,0.18489,0.22051,0.27513
R2,-,0.04875,0.06372,0.10242,-,0.02368,0.03341,0.05231,-,0.0318,0.04369,0.06918
R3,-,0.00479,0.01775,0.03445,-,0.00231,0.00903,0.01746,-,0.00311,0.01194,0.02315
RL,-,0.26027,0.29894,0.38589,-,0.1299,0.16128,0.19904,-,0.17277,0.20878,0.26228
RSU,-,0.07927,0.09169,0.14753,-,0.01995,0.02704,0.03961,-,0.03158,0.04122,0.06221
RS,-,0.06607,0.08425,0.14312,-,0.01603,0.02445,0.03811,-,0.02555,0.0374,0.05995


Z
R4,-,0.00532,0.00584,0.01161,-,0.00303,0.00311,0.00594,-,0.00385,0.00405,0.00784
RW,-,0.1032,0.11968,0.13468,-,0.09053,0.09974,0.11094,-,0.09605,0.1085,0.12132
R1,-,0.21479,0.28618,0.36344,-,0.12316,0.15481,0.19279,-,0.15609,0.2005,0.25136
R2,-,0.04107,0.06068,0.08507,-,0.0232,0.03231,0.04431,-,0.02957,0.04207,0.05815
R3,-,0.01147,0.01663,0.02626,-,0.00661,0.00885,0.0135,-,0.00836,0.01153,0.0178
RL,-,0.19876,0.26677,0.34502,-,0.11401,0.14409,0.18294,-,0.14447,0.18672,0.23856
RSU,-,0.05478,0.08263,0.12567,-,0.01831,0.02486,0.03551,-,0.0272,0.03792,0.05498
RS,-,0.04428,0.07579,0.12157,-,0.0144,0.0225,0.03407,-,0.02154,0.03442,0.05284


