ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.01085,0.01178,0.02266,0.02613,0.00989,0.01014,0.01155,0.00741,0.01033,0.01087,0.01528,0.01147
RW,0.10972,0.11836,0.15268,0.19044,0.1569,0.15819,0.12337,0.08371,0.12814,0.13495,0.13612,0.11558
R1,0.22345,0.27441,0.36737,0.46468,0.20687,0.23896,0.19256,0.13278,0.21328,0.25463,0.25214,0.20559
R2,0.06888,0.07269,0.10372,0.13078,0.06384,0.06255,0.0537,0.03674,0.06569,0.06705,0.07063,0.05709
R3,0.02318,0.02463,0.0409,0.05018,0.02062,0.02107,0.02093,0.01402,0.02174,0.02265,0.02764,0.02179
RL,0.20353,0.25034,0.34349,0.43515,0.18929,0.21795,0.17992,0.12428,0.19473,0.23226,0.23565,0.19246
RSU,0.05941,0.07066,0.12487,0.19583,0.05105,0.05316,0.03506,0.01701,0.0535,0.05997,0.05438,0.03092
RS,0.04663,0.06256,0.11679,0.18692,0.0395,0.04664,0.03229,0.0159,0.04163,0.05281,0.05025,0.02895


