ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,-,0.01181,0.00763,0.01268,-,0.00264,0.00391,0.00663,-,0.00431,0.00517,0.00864
RW,-,0.23283,0.15916,0.16629,-,0.09139,0.12676,0.13313,-,0.12969,0.14072,0.14718
R1,-,0.39488,0.33676,0.40246,-,0.10811,0.18019,0.21361,-,0.16849,0.23418,0.27808
R2,-,0.13772,0.09476,0.1149,-,0.03373,0.04995,0.06057,-,0.05363,0.06526,0.07901
R3,-,0.0408,0.02588,0.03578,-,0.00921,0.01343,0.01865,-,0.01488,0.01765,0.02441
RL,-,0.35896,0.30901,0.37369,-,0.09799,0.16546,0.19838,-,0.1528,0.21498,0.25824
RSU,-,0.18506,0.10699,0.14005,-,0.01531,0.03131,0.03968,-,0.02795,0.04809,0.06121
RS,-,0.12528,0.09207,0.13138,-,0.00899,0.02624,0.0366,-,0.01659,0.04054,0.05669


