ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
R3,0.00576,0.01121,0.03473,0.04439,0.00407,0.00148,0.00274,0.00182,0.00473,0.00261,0.00506,0.00348
RL,0.1967,0.32,0.43093,0.51443,0.16905,0.05752,0.04717,0.02856,0.17901,0.09624,0.08474,0.05404
RSU,0.06762,0.15763,0.25902,0.3513,0.0483,0.00598,0.00345,0.0012,0.05342,0.01115,0.00679,0.0024
RS,0.0315,0.10424,0.20233,0.29677,0.02237,0.00336,0.00221,0.00082,0.02485,0.0063,0.00437,0.00164


28
R4,-,0.01109,0.01411,0.02117,-,0.00248,0.00156,0.00111,-,0.00403,0.00281,0.00211
RW,-,0.2335,0.29223,0.34478,-,0.08925,0.05531,0.0324,-,0.12763,0.09247,0.05905
R1,-,0.39819,0.50988,0.59397,-,0.10546,0.06715,0.03876,-,0.1655,0.11831,0.07265
R2,-,0.13471,0.17136,0.19837,-,0.03237,0.02002,0.01158,-,0.05161,0.0357,0.02183
R3,-,0.03666,0.04982,0.06484,-,0.00784,0.00527,0.00345,-,0.01271,0.00948,0.00654
RL,-,0.35923,0.45866,0.54527,-,0.09529,0.06044,0.03562,-,0.14946,0.10647,0.06677
RSU,-,0.1889,0.28982,0.38749,-,0.0145,0.00552,0.00183,-,0.0266,0.01082,0.00364
RS,-,0.13181,0.23178,0.33348,-,0.00862,0.00365,0.00128,-,0.01598,0.00716,0.00255


29
R4,0.00122,0.00723,0.01421,0.00971,0.0013,0.00151,0.00176,0.00063,0.00126,0.00249,0.00313,0.00118
RW,0.15399,0.20843,0.25848,0.29527,0.16401,0.10189,0.05582,0.03439,0.157,0.12942,0.09099,0.06128
R1,0.2743,0.35203,0.43859,0.50157,0.20583,0.11882,0.06565,0.04036,0.23325,0.16859,0.11356,0.07449
R2,0.04585,0.11127,0.13355,0.16341,0.03258,0.03066,0.01777,0.0116,0.03739,0.04681,0.03115,0.02159
R3,0.0056,0.02914,0.04317,0.04431,0.00443,0.0063,0.00514,0.00273,0.00482,0.01018,0.0091,0.00512
RL,0.22905,0.32304,0.40758,0.46779,0.17198,0.10946,0.0609,0.03766,0.19483,0.15498,0.10536,0.06951
RSU,0.09309,0.15654,0.21699,0.29263,0.05369,0.02117,0.00546,0.00214,0.06595,0.03078,0.01061,0.00424
RS,0.04117,0.1027,0.15582,0.23553,0.02377,0.01247,0.00331,0.00142,0.02887,0.01747,0.00646,0.00282


3
R4,-,0.01327,0.01466,0.02543,-,0.00302,0.00164,0.00132,-,0.00489,0.00295,0.0025
RW,-,0.22115,0.27125,0.331,-,0.08726,0.05324,0.03337,-,0.12369,0.08845,0.06044
R1,-,0.36163,0.44903,0.56292,-,0.09945,0.06136,0.03925,-,0.15474,0.10758,0.07326
R2,-,0.12425,0.16422,0.20966,-,0.03111,0.0198,0.01301,-,0.04926,0.03516,0.02445
R3,-,0.04201,0.05043,0.07147,-,0.00949,0.00553,0.00395,-,0.01531,0.00991,0.00746
RL,-,0.33819,0.42075,0.52499,-,0.09233,0.0574,0.0367,-,0.14391,0.10064,0.06849
RSU,-,0.16973,0.24316,0.35646,-,0.01395,0.00504,0.00195,-,0.02547,0.00986,0.00388
RS,-,0.11594,0.18563,0.29993,-,0.00812,0.0032,0.00133,-,0.01499,0.00628,0.00265


