ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00294,0.00368,0.00613,0.0,0.00374,0.00367,0.00314,0.0,0.00327,0.00366,0.00415
RW,0.1008,0.07923,0.09108,0.12788,0.12291,0.14192,0.14355,0.10424,0.10716,0.10104,0.11101,0.11446
R1,0.15508,0.16187,0.20583,0.3081,0.13269,0.19074,0.21545,0.16698,0.13896,0.17408,0.20974,0.216
R2,0.01923,0.03256,0.04399,0.06501,0.01837,0.03876,0.04544,0.03507,0.01789,0.0352,0.04453,0.04544
R3,0.00174,0.00828,0.01044,0.01741,0.00145,0.01016,0.01075,0.00918,0.00158,0.00906,0.01055,0.01199
RL,0.14539,0.14558,0.18803,0.28033,0.12374,0.17172,0.19721,0.15186,0.12979,0.1566,0.1918,0.19648
RSU,0.04615,0.02943,0.04122,0.08675,0.03556,0.04076,0.04486,0.02577,0.03652,0.03353,0.04234,0.03941
RS,0.01537,0.02103,0.03568,0.07946,0.01306,0.02922,0.03878,0.02325,0.01262,0.02399,0.03661,0.03567


19
R4,0.00164,0.00706,0.00823,0.01355,0.00129,0.00754,0.00834,0.00697,0.00144,0.00724,0.00826,0.00917
RW,0.1644,0.10996,0.11367,0.16484,0.21912,0.17179,0.17348,0.12872,0.18109,0.1326,0.13667,0.14392
R1,0.2751,0.23227,0.26718,0.39907,0.25075,0.24051,0.27144,0.20732,0.25307,0.23387,0.26806,0.27198
R2,0.07839,0.07035,0.07146,0.11147,0.07156,0.07258,0.07273,0.05774,0.07248,0.07074,0.07178,0.07582
R3,0.00992,0.02069,0.02056,0.03493,0.00886,0.02161,0.02096,0.01813,0.00927,0.02099,0.02068,0.02378
RL,0.24236,0.20691,0.24524,0.37037,0.22396,0.21341,0.24916,0.19236,0.22423,0.20788,0.24605,0.25237
RSU,0.10046,0.0561,0.06715,0.14592,0.09166,0.06153,0.06978,0.04027,0.0832,0.05626,0.06727,0.06251
RS,0.05559,0.04479,0.06042,0.13752,0.04131,0.04904,0.06278,0.03739,0.04327,0.04476,0.0605,0.05822


2
R4,-,0.00289,0.0035,0.00479,-,0.00358,0.00419,0.00284,-,0.00318,0.0038,0.00355
RW,-,0.06645,0.07714,0.10755,-,0.12119,0.12977,0.09606,-,0.08493,0.09638,0.10102
R1,-,0.12563,0.16648,0.24155,-,0.15185,0.18703,0.1435,-,0.13625,0.17553,0.17931
R2,-,0.03312,0.03718,0.05238,-,0.04177,0.04219,0.03095,-,0.03651,0.03937,0.03875
R3,-,0.00871,0.00988,0.01448,-,0.01111,0.01133,0.00847,-,0.00968,0.01052,0.01066
RL,-,0.11537,0.15845,0.23027,-,0.13955,0.17789,0.13682,-,0.12516,0.16701,0.17095
RSU,-,0.02064,0.02836,0.05903,-,0.03029,0.03588,0.02136,-,0.02379,0.0313,0.03098
RS,-,0.01397,0.0238,0.05307,-,0.02066,0.03019,0.01897,-,0.01613,0.0263,0.0276


20
