ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
R3,0.00385,0.00362,0.02432,0.03856,0.00395,0.00333,0.02165,0.01755,0.00386,0.00346,0.0229,0.02411
RL,0.13428,0.1946,0.31403,0.45716,0.13278,0.1792,0.2812,0.2096,0.13289,0.18594,0.29661,0.28734
RSU,0.03821,0.04599,0.11073,0.22656,0.03706,0.03862,0.08889,0.04788,0.03699,0.04154,0.09849,0.07899
RS,0.01772,0.03949,0.10606,0.22137,0.01672,0.03292,0.08497,0.0463,0.01688,0.03554,0.09423,0.07652


28
R4,-,0.01096,0.01129,0.01993,-,0.01138,0.0116,0.01003,-,0.01113,0.01143,0.01334
RW,-,0.10393,0.11187,0.16233,-,0.18048,0.19054,0.13789,-,0.13152,0.14084,0.14902
R1,-,0.27966,0.34041,0.49269,-,0.29164,0.34749,0.25016,-,0.28478,0.34366,0.33173
R2,-,0.0666,0.07497,0.12056,-,0.0703,0.07663,0.061,-,0.06816,0.07573,0.08099
R3,-,0.02427,0.02596,0.04273,-,0.02563,0.02662,0.02158,-,0.02484,0.02626,0.02867
RL,-,0.23974,0.30074,0.44563,-,0.25007,0.30708,0.22634,-,0.24415,0.30365,0.30011
RSU,-,0.07295,0.10598,0.2242,-,0.08033,0.11066,0.05811,-,0.07559,0.10794,0.09221
RS,-,0.06494,0.10136,0.21901,-,0.07173,0.1059,0.05623,-,0.06734,0.10326,0.08941


29
R4,0.0,0.0081,0.00699,0.01279,0.0,0.00935,0.00716,0.00733,0.0,0.00841,0.00707,0.0093
RW,0.08614,0.09617,0.10751,0.1504,0.1377,0.19052,0.18696,0.1434,0.10587,0.12456,0.13618,0.14644
R1,0.16451,0.25475,0.31976,0.45571,0.16964,0.29886,0.33341,0.25977,0.16693,0.26729,0.32565,0.33021
R2,0.02384,0.05701,0.05949,0.09539,0.02431,0.06955,0.06168,0.05455,0.02405,0.06036,0.06046,0.06926
R3,0.0,0.01913,0.01763,0.02837,0.0,0.0235,0.01814,0.01626,0.0,0.02027,0.01786,0.02064
RL,0.13915,0.22222,0.29151,0.41581,0.14332,0.26122,0.30371,0.237,0.14111,0.23338,0.29678,0.30128
RSU,0.03852,0.06474,0.09113,0.18853,0.04084,0.08788,0.09879,0.06166,0.03955,0.06849,0.09398,0.09233
RS,0.01418,0.0574,0.08661,0.18334,0.01499,0.07695,0.0939,0.05946,0.01454,0.06054,0.08932,0.08922


3
R4,-,0.00978,0.01244,0.01866,-,0.01025,0.01283,0.01079,-,0.00998,0.01262,0.01352
RW,-,0.10206,0.11071,0.15658,-,0.18095,0.19049,0.14218,-,0.12996,0.13996,0.14788
R1,-,0.269,0.32694,0.46684,-,0.28695,0.33701,0.25323,-,0.27651,0.33169,0.32633
R2,-,0.0622,0.07152,0.11311,-,0.06583,0.07374,0.06216,-,0.06373,0.07257,0.07962
R3,-,0.02144,0.02497,0.039,-,0.02259,0.02574,0.02196,-,0.02192,0.02533,0.02783
RL,-,0.23362,0.29636,0.42866,-,0.24848,0.30561,0.2324,-,0.23987,0.30073,0.29956
RSU,-,0.06919,0.09943,0.2054,-,0.07783,0.10577,0.06136,-,0.07216,0.10225,0.09231
RS,-,0.06143,0.09494,0.20033,-,0.06899,0.10106,0.05931,-,0.06401,0.09766,0.08939
