ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00353,0.00447,0.00824,0.01018,0.00309,0.00214,0.00201,0.00138,0.00329,0.00289,0.00323,0.00242
RW,0.09064,0.11538,0.15511,0.18684,0.13108,0.09977,0.06709,0.04385,0.10706,0.1069,0.0936,0.07072
R1,0.24054,0.32901,0.43347,0.51858,0.20657,0.16784,0.11056,0.07175,0.2221,0.22214,0.17611,0.12561
R2,0.03831,0.04484,0.06862,0.09547,0.03346,0.02247,0.01714,0.01297,0.0357,0.02992,0.02742,0.02276
R3,0.01096,0.01262,0.02018,0.02716,0.00965,0.00621,0.00498,0.00367,0.01026,0.00832,0.00798,0.00645
RL,0.20868,0.28842,0.39086,0.47496,0.1792,0.14706,0.09969,0.0657,0.19267,0.19467,0.1588,0.11503
RSU,0.05969,0.1064,0.18648,0.26641,0.04476,0.0281,0.01234,0.00532,0.05103,0.04437,0.02313,0.01039
RS,0.05144,0.0978,0.17687,0.2566,0.03844,0.02537,0.01138,0.00496,0.04388,0.04022,0.02138,0.00969


2
R4,0.01158,0.01606,0.02262,0.02558,0.00982,0.00787,0.00552,0.00416,0.01062,0.01055,0.00888,0.0071
RW,0.10338,0.13028,0.17619,0.19932,0.14802,0.11179,0.07618,0.06116,0.1216,0.12025,0.10629,0.09273
R1,0.27949,0.36532,0.48991,0.55296,0.23756,0.18516,0.12497,0.10045,0.25661,0.24564,0.19906,0.16887
R2,0.05719,0.07569,0.1114,0.13535,0.0487,0.0379,0.02797,0.02362,0.05256,0.05048,0.04469,0.03993
R3,0.02261,0.02938,0.04315,0.05145,0.0192,0.01458,0.01069,0.00862,0.02075,0.01948,0.01713,0.01465
RL,0.23637,0.31463,0.4371,0.49541,0.20079,0.15952,0.11159,0.0898,0.21694,0.2116,0.17771,0.151
RSU,0.07977,0.13351,0.23555,0.29979,0.05811,0.03473,0.01563,0.01018,0.06703,0.05504,0.02929,0.01956
RS,0.07064,0.12448,0.22566,0.28992,0.05116,0.0318,0.01457,0.00953,0.05915,0.05058,0.02735,0.01832


L
R4,0.00412,0.00821,0.01411,0.02578,0.00399,0.00412,0.00349,0.0032,0.00402,0.00548,0.00559,0.00569
RW,0.09173,0.12832,0.17132,0.21709,0.14868,0.11307,0.07514,0.04757,0.11263,0.12007,0.1044,0.078
R1,0.23991,0.35573,0.47738,0.58678,0.23191,0.18533,0.12367,0.07595,0.23426,0.24353,0.19639,0.13447
R2,0.03981,0.06173,0.10179,0.15315,0.03941,0.03152,0.02597,0.01948,0.03929,0.04171,0.04137,0.03456
R3,0.01147,0.01897,0.0336,0.05336,0.01126,0.00962,0.00845,0.00669,0.01129,0.01275,0.0135,0.01189
RL,0.20891,0.31348,0.42787,0.53877,0.20074,0.16326,0.11086,0.06975,0.20345,0.21455,0.17604,0.12348
RSU,0.05795,0.12246,0.21987,0.33893,0.05488,0.03367,0.01504,0.0058,0.05494,0.05271,0.02815,0.01141
RS,0.04963,0.11338,0.20985,0.32924,0.04685,0.03063,0.01397,0.00546,0.04694,0.04813,0.02619,0.01074


M
R4,0.00174,0.00357,0.01125,0.01718,0.00148,0.00174,0.00302,0.00226,0.0016,0.00234,0.00476,0.004
RW,0.08862,0.11829,0.16114,0.2098,0.12754,0.1033,0.0727,0.04875,0.10443,0.11018,0.10009,0.07907
R1,0.23917,0.33256,0.44423,0.57221,0.20496,0.17192,0.11832,0.07861,0.22045,0.2265,0.18674,0.13818
R2,0.03401,0.04957,0.08012,0.12496,0.02957,0.02536,0.02131,0.01689,0.03159,0.03353,0.03364,0.02975
R3,0.00709,0.01294,0.02656,0.03909,0.00621,0.00651,0.00714,0.00521,0.00661,0.00866,0.01125,0.00919
RL,0.20329,0.28991,0.40159,0.51881,0.17389,0.1498,0.10708,0.0713,0.18718,0.19739,0.16896,0.12532
RSU,0.05564,0.10854,0.19678,0.31603,0.04146,0.02945,0.01432,0.0061,0.04728,0.04623,0.02667,0.01196
RS,0.04727,0.09985,0.18715,0.30608,0.03507,0.02663,0.01327,0.00572,0.04006,0.04194,0.02475,0.01123


N
R4,0.00807,0.01244,0.01555,0.02655,0.00649,0.00569,0.00348,0.00297,0.00719,0.0078,0.00568,0.00535
RW,0.09788,0.13351,0.17473,0.21981,0.12687,0.10503,0.06915,0.04377,0.11037,0.11746,0.09902,0.07298
R1,0.26735,0.3735,0.48261,0.59944,0.20581,0.17362,0.11277,0.07052,0.23235,0.23691,0.18276,0.12618
R2,0.04362,0.07046,0.1034,0.1483,0.03405,0.03247,0.02369,0.01712,0.03821,0.04443,0.03853,0.03069
R3,0.01429,0.02469,0.03564,0.05556,0.01139,0.01133,0.00806,0.00631,0.01267,0.01552,0.01314,0.01133
RL,0.22545,0.3242,0.435,0.54537,0.1736,0.15075,0.10168,0.06416,0.19596,0.20568,0.16476,0.1148
RSU,0.06808,0.13533,0.22568,0.34978,0.04121,0.02972,0.01257,0.00495,0.05117,0.04867,0.0238,0.00977
RS,0.05898,0.12607,0.21573,0.34005,0.03547,0.02716,0.01168,0.00466,0.04414,0.04462,0.02215,0.00919


O
R4,0.00336,0.00484,0.00832,0.01764,0.00288,0.0023,0.00198,0.00215,0.00309,0.00311,0.0032,0.00383
RW,0.09592,0.12294,0.16031,0.20328,0.13784,0.10524,0.07105,0.04806,0.11301,0.11333,0.09801,0.07623
R1,0.25265,0.3384,0.44526,0.56005,0.21514,0.17086,0.11683,0.07869,0.2322,0.22694,0.18434,0.13575
R2,0.04442,0.0577,0.09041,0.13377,0.0378,0.0286,0.02314,0.01802,0.04081,0.03822,0.0367,0.03136
R3,0.01266,0.01678,0.02716,0.04365,0.01082,0.00817,0.00674,0.0056,0.01165,0.01098,0.01076,0.00985
RL,0.22011,0.30176,0.39976,0.50758,0.18761,0.15251,0.10482,0.07112,0.2024,0.2025,0.16543,0.12279
RSU,0.06403,0.11287,0.19504,0.30531,0.04701,0.02909,0.01372,0.00651,0.05406,0.04619,0.02541,0.01233
RS,0.05549,0.10415,0.18532,0.2954,0.04054,0.02635,0.01267,0.00606,0.04672,0.04199,0.02351,0.0115


P
R4,0.00706,0.00884,0.01837,0.02956,0.00676,0.00446,0.00446,0.00357,0.0069,0.00593,0.00718,0.00638
RW,0.09926,0.12944,0.17291,0.22281,0.14717,0.11113,0.07392,0.04774,0.11838,0.1195,0.1035,0.07859
R1,0.265,0.36668,0.48202,0.60336,0.233,0.18585,0.12176,0.07633,0.24762,0.24655,0.19434,0.13548
R2,0.04814,0.06913,0.10132,0.15692,0.04327,0.03475,0.02517,0.01952,0.0455,0.04623,0.0403,0.03471
R3,0.01695,0.02195,0.03531,0.0601,0.0157,0.01104,0.00868,0.00736,0.01627,0.01468,0.01392,0.01311
RL,0.22578,0.3183,0.42851,0.54853,0.19857,0.16133,0.10827,0.06943,0.211,0.21402,0.1728,0.12323
RSU,0.0706,0.13489,0.22754,0.35333,0.05596,0.03523,0.01483,0.00579,0.06211,0.05579,0.02783,0.01139
RS,0.06178,0.1259,0.21769,0.3436,0.04891,0.03231,0.01381,0.00545,0.05431,0.05134,0.02595,0.01073


R
R4,0.00961,0.0112,0.01595,0.01678,0.00981,0.00631,0.00428,0.00358,0.00957,0.00802,0.00674,0.00585
RW,0.09606,0.128,0.16748,0.17838,0.15592,0.11967,0.08163,0.07101,0.11726,0.12291,0.10912,0.09948
R1,0.25012,0.35529,0.46341,0.49311,0.2416,0.1962,0.13367,0.11627,0.24228,0.25135,0.20652,0.18525
R2,0.04994,0.06584,0.09397,0.10269,0.04912,0.03613,0.0263,0.02318,0.04885,0.04637,0.04093,0.03729
R3,0.01848,0.02341,0.03223,0.03597,0.01867,0.01294,0.00872,0.00766,0.01829,0.01657,0.01369,0.01248
RL,0.21701,0.31125,0.41638,0.44444,0.20808,0.17213,0.11986,0.1043,0.20956,0.22038,0.18529,0.16634
RSU,0.06353,0.12522,0.20969,0.24194,0.06023,0.03877,0.01791,0.01412,0.05862,0.05803,0.0327,0.02606
