ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
R2,0.02717,0.03333,0.08425,0.11566,0.02615,0.02451,0.04917,0.04703,0.02651,0.02808,0.06208,0.06685
R3,0.00352,0.00473,0.02817,0.03947,0.0034,0.00349,0.0163,0.01597,0.00344,0.004,0.02064,0.02273
RL,0.14084,0.19761,0.33311,0.42693,0.13641,0.14492,0.19572,0.17453,0.13798,0.16663,0.24649,0.24772
RSU,0.03863,0.0456,0.11787,0.17711,0.03628,0.02889,0.05432,0.04776,0.03687,0.03499,0.07429,0.07519
RS,0.01694,0.03857,0.11226,0.17333,0.01571,0.02419,0.05148,0.04653,0.01605,0.02943,0.07051,0.07332


28
R4,-,0.01081,0.01404,0.0205,-,0.00892,0.00929,0.00911,-,0.00973,0.01117,0.01261
RW,-,0.10811,0.12296,0.14817,-,0.15142,0.14191,0.11855,-,0.12581,0.13161,0.13165
R1,-,0.28212,0.35848,0.45749,-,0.23446,0.23994,0.20707,-,0.25543,0.28727,0.28504
R2,-,0.06582,0.08233,0.11447,-,0.05509,0.05482,0.05148,-,0.05977,0.06577,0.07101
R3,-,0.02347,0.03002,0.04275,-,0.01962,0.01992,0.01912,-,0.02129,0.02393,0.02642
RL,-,0.24353,0.31744,0.41858,-,0.20224,0.21245,0.18944,-,0.2204,0.25436,0.26078
RSU,-,0.07191,0.11004,0.17466,-,0.05963,0.06588,0.05772,-,0.06444,0.08217,0.0867
RS,-,0.06331,0.10449,0.17088,-,0.05253,0.06241,0.05626,-,0.05672,0.0779,0.08459


29
R4,0.00054,0.00895,0.01048,0.01197,0.00057,0.00808,0.00687,0.00604,0.00055,0.00822,0.00829,0.00802
RW,0.09303,0.10078,0.11942,0.13362,0.14701,0.16142,0.14062,0.11985,0.11386,0.12056,0.12883,0.12612
R1,0.17665,0.25918,0.34043,0.41444,0.18018,0.24316,0.23267,0.21018,0.1783,0.24363,0.27579,0.27842
R2,0.02911,0.05779,0.068,0.08895,0.02957,0.05594,0.04579,0.04502,0.02932,0.05473,0.05464,0.05968
R3,0.00199,0.01941,0.02372,0.02745,0.00209,0.01875,0.01572,0.01385,0.00203,0.0183,0.0189,0.01838
RL,0.14989,0.22688,0.30913,0.37972,0.15274,0.21357,0.21089,0.19264,0.15122,0.21346,0.2502,0.25515
RSU,0.04378,0.0644,0.09787,0.13931,0.04576,0.06723,0.06072,0.05771,0.04467,0.05971,0.07433,0.0811
RS,0.01786,0.05647,0.09239,0.13562,0.01884,0.05816,0.05716,0.05603,0.0183,0.05211,0.07004,0.0788


3
R4,-,0.00819,0.01456,0.01803,-,0.00681,0.00967,0.00907,-,0.0074,0.01161,0.01195
RW,-,0.10583,0.12208,0.14115,-,0.15126,0.14243,0.12054,-,0.12401,0.13138,0.12914
R1,-,0.27331,0.34943,0.43097,-,0.232,0.23618,0.20797,-,0.24992,0.28168,0.27903
R2,-,0.06158,0.07914,0.10622,-,0.05201,0.05317,0.05166,-,0.05614,0.06356,0.06905
R3,-,0.02024,0.02948,0.03838,-,0.01705,0.01967,0.01902,-,0.01841,0.02358,0.02522
RL,-,0.23815,0.31609,0.39899,-,0.20153,0.21362,0.19242,-,0.21745,0.25478,0.25822
RSU,-,0.06799,0.10698,0.15784,-,0.05758,0.06526,0.05951,-,0.06138,0.08086,0.08449
RS,-,0.05962,0.10154,0.15417,-,0.05027,0.0618,0.05794,-,0.05369,0.07664,0.08232
