ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f
RW,-,0.21657,0.14917,0.16233,-,0.06851,0.12858,0.13789,-,0.10358,0.13789,0.14902
R1,-,0.41833,0.4113,0.49269,-,0.08614,0.21568,0.25016,-,0.14244,0.28274,0.33173
R2,-,0.12153,0.09427,0.12056,-,0.02359,0.04897,0.061,-,0.03936,0.06441,0.08099
R3,-,0.0413,0.03105,0.04273,-,0.00728,0.016,0.02158,-,0.01234,0.0211,0.02867
RL,-,0.36688,0.35764,0.44563,-,0.07587,0.18747,0.22634,-,0.12537,0.24579,0.30011
RSU,-,0.19483,0.15404,0.2242,-,0.00901,0.04287,0.05811,-,0.01716,0.06692,0.09221
RS,-,0.14907,0.14408,0.21901,-,0.00604,0.03941,0.05623,-,0.01157,0.06175,0.08941


29
R4,-,0.00956,0.01009,0.01279,-,0.00159,0.00505,0.00733,-,0.00273,0.00672,0.0093
RW,-,0.1913,0.14404,0.1504,-,0.06958,0.12706,0.1434,-,0.09911,0.13455,0.14644
R1,-,0.36918,0.38428,0.45571,-,0.08726,0.20621,0.25977,-,0.13761,0.26768,0.33021
R2,-,0.09519,0.0743,0.09539,-,0.02034,0.03929,0.05455,-,0.03292,0.05127,0.06926
R3,-,0.02728,0.02445,0.02837,-,0.00508,0.0125,0.01626,-,0.00849,0.01652,0.02064
RL,-,0.32583,0.34337,0.41581,-,0.077,0.18397,0.237,-,0.12136,0.23896,0.30128
RSU,-,0.15518,0.13364,0.18853,-,0.00982,0.03878,0.06166,-,0.01734,0.05963,0.09233
RS,-,0.11189,0.12388,0.18334,-,0.00616,0.03529,0.05946,-,0.01097,0.05449,0.08922


3
R4,-,0.01541,0.01081,0.01866,-,0.00286,0.00567,0.01079,-,0.0048,0.00743,0.01352
RW,-,0.20444,0.14293,0.15658,-,0.06677,0.12458,0.14218,-,0.09998,0.13297,0.14788
R1,-,0.39032,0.38628,0.46684,-,0.08344,0.20464,0.25323,-,0.13686,0.26735,0.32633
R2,-,0.10767,0.08162,0.11311,-,0.02162,0.04291,0.06216,-,0.03581,0.0562,0.07962
R3,-,0.03943,0.0271,0.039,-,0.00762,0.01412,0.02196,-,0.01269,0.01855,0.02783
RL,-,0.34505,0.3424,0.42866,-,0.07349,0.18134,0.2324,-,0.12062,0.23693,0.29956
RSU,-,0.17485,0.14118,0.2054,-,0.0086,0.04003,0.06136,-,0.0163,0.06224,0.09231
RS,-,0.12983,0.13168,0.20033,-,0.00554,0.03669,0.05931,-,0.01056,0.05726,0.08939
