ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00739,0.00647,0.00927,0.0,0.00798,0.00671,0.00941,0.0,0.00767,0.00659,0.00934
RW,0.06842,0.08924,0.09934,0.11229,0.10811,0.15863,0.17124,0.18947,0.08175,0.11404,0.12564,0.14093
R1,0.11447,0.23986,0.29713,0.3739,0.1182,0.2573,0.30791,0.37931,0.11344,0.24796,0.30226,0.37649
R2,0.01848,0.04338,0.0552,0.07789,0.02107,0.04607,0.05712,0.07895,0.01931,0.04464,0.05612,0.0784
R3,0.00217,0.01479,0.01582,0.02196,0.00217,0.0158,0.0164,0.02227,0.00217,0.01526,0.0161,0.02211
RL,0.10738,0.20656,0.26384,0.34103,0.10928,0.22162,0.27327,0.34594,0.10564,0.21355,0.26832,0.34338
RSU,0.02394,0.05602,0.0814,0.13028,0.02732,0.06444,0.08732,0.13413,0.02349,0.05966,0.08408,0.13204
RS,0.00692,0.04884,0.0772,0.12789,0.0091,0.0563,0.08286,0.13168,0.00743,0.05206,0.07976,0.12963


19
R4,0.00463,0.01407,0.01773,0.02133,0.00323,0.0148,0.01865,0.02172,0.00378,0.01437,0.01814,0.0215
RW,0.11026,0.11012,0.11611,0.1275,0.20181,0.18899,0.2016,0.21587,0.13683,0.13858,0.14705,0.16006
R1,0.20671,0.28636,0.34023,0.41417,0.23727,0.29678,0.35468,0.42153,0.21192,0.29023,0.34662,0.41728
R2,0.06003,0.07092,0.08437,0.10904,0.07416,0.07408,0.08787,0.11077,0.06245,0.07214,0.08593,0.10976
R3,0.01341,0.02768,0.03169,0.04123,0.01222,0.02892,0.03319,0.04191,0.01262,0.02818,0.03236,0.04152
RL,0.17805,0.25372,0.30973,0.38587,0.20731,0.26229,0.32292,0.39268,0.18306,0.25689,0.31557,0.38874
RSU,0.05928,0.07851,0.10784,0.15902,0.08582,0.08446,0.11685,0.16461,0.05952,0.08013,0.11136,0.16097
RS,0.03098,0.07038,0.10332,0.15651,0.04079,0.07569,0.112,0.16202,0.02999,0.07181,0.10671,0.15843


2
R4,-,0.01025,0.00926,0.00905,-,0.01118,0.00949,0.00943,-,0.01062,0.00936,0.00923
RW,-,0.08742,0.09703,0.10472,-,0.1586,0.16673,0.18023,-,0.11199,0.1225,0.13227
R1,-,0.22224,0.28069,0.33934,-,0.2438,0.28955,0.35063,-,0.23101,0.28477,0.34441
R2,-,0.04422,0.05317,0.06521,-,0.04921,0.0547,0.06771,-,0.04621,0.05386,0.06634
R3,-,0.01783,0.01747,0.01955,-,0.01983,0.01792,0.02032,-,0.01862,0.01767,0.01991
RL,-,0.19898,0.25996,0.3211,-,0.21778,0.26818,0.3318,-,0.20663,0.26374,0.32591
RSU,-,0.05141,0.07595,0.10997,-,0.06053,0.08051,0.1177,-,0.05435,0.07786,0.11309
RS,-,0.04476,0.07196,0.10772,-,0.05245,0.07629,0.11534,-,0.04721,0.07377,0.11079


20
