ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00281,0.00275,0.00614,0.00755,0.00242,0.00237,0.00308,0.002,0.0026,0.00254,0.0041,0.00316
RW,0.09131,0.09693,0.12878,0.1602,0.13418,0.14265,0.11255,0.07643,0.10853,0.11534,0.11999,0.10279
R1,0.24934,0.29266,0.40054,0.49581,0.21554,0.25237,0.20392,0.13798,0.23109,0.27093,0.27011,0.21471
R2,0.03913,0.04029,0.06351,0.08839,0.03391,0.03467,0.03224,0.02462,0.03632,0.03725,0.04274,0.03831
R3,0.0103,0.00967,0.01595,0.0221,0.00893,0.00834,0.00803,0.00598,0.00956,0.00895,0.01067,0.00938
RL,0.21242,0.26261,0.36689,0.46151,0.18354,0.22629,0.18678,0.12839,0.19683,0.24301,0.24741,0.1998
RSU,0.06311,0.08203,0.15433,0.23858,0.04761,0.06132,0.04046,0.01937,0.05417,0.07008,0.06397,0.03535
RS,0.05478,0.07724,0.14959,0.23367,0.04112,0.05758,0.03886,0.01873,0.04689,0.06589,0.06157,0.03421


2
R4,0.01518,0.01854,0.02259,0.03068,0.0129,0.01577,0.01149,0.01122,0.01395,0.01704,0.01522,0.01619
RW,0.11041,0.11244,0.14511,0.16868,0.16107,0.16472,0.12679,0.10556,0.13087,0.13357,0.13519,0.12815
R1,0.29547,0.33275,0.44729,0.51652,0.25349,0.28532,0.22791,0.1892,0.27277,0.30711,0.30181,0.27406
R2,0.06713,0.07011,0.10072,0.12878,0.05745,0.0601,0.05118,0.0463,0.06189,0.0647,0.06783,0.06733
R3,0.02904,0.03014,0.03908,0.05179,0.02472,0.02572,0.01985,0.01861,0.02669,0.02775,0.02631,0.02702
RL,0.25521,0.29902,0.40769,0.4735,0.21886,0.2563,0.20759,0.17316,0.23555,0.27592,0.27497,0.25092
RSU,0.08814,0.10591,0.19192,0.25794,0.06524,0.07821,0.05053,0.03555,0.07488,0.08986,0.07982,0.06098
RS,0.07883,0.10078,0.18702,0.25301,0.058,0.0742,0.0488,0.03443,0.06673,0.08536,0.07723,0.05915


L
R4,0.01297,0.0146,0.02028,0.03329,0.0124,0.01301,0.01025,0.00856,0.01264,0.01376,0.01361,0.01359
RW,0.09513,0.11025,0.14101,0.18584,0.15727,0.16635,0.12506,0.08326,0.11778,0.13251,0.13243,0.11469
R1,0.25205,0.32792,0.4351,0.56381,0.24571,0.28939,0.22506,0.1476,0.24735,0.30732,0.29652,0.23353
R2,0.04928,0.06289,0.09423,0.14883,0.0485,0.05569,0.04856,0.03877,0.04858,0.05905,0.06406,0.06139
R3,0.01888,0.02357,0.03413,0.05643,0.01817,0.02101,0.01743,0.01459,0.01846,0.02221,0.02307,0.02315
RL,0.2152,0.29381,0.39511,0.52055,0.20911,0.25921,0.20426,0.13622,0.21088,0.27531,0.26917,0.21555
RSU,0.06602,0.1031,0.18472,0.30769,0.06293,0.08086,0.05011,0.02205,0.06301,0.0905,0.07866,0.04082
RS,0.05758,0.09803,0.17991,0.30283,0.05463,0.0767,0.04838,0.02144,0.0548,0.08593,0.07609,0.0397


M
R4,0.00142,0.00378,0.00793,0.02055,0.00123,0.00322,0.00424,0.00566,0.00131,0.00348,0.00552,0.00885
RW,0.09179,0.09962,0.13198,0.1779,0.13449,0.14772,0.11988,0.08424,0.10895,0.11883,0.12537,0.11402
R1,0.24879,0.30039,0.40923,0.54702,0.215,0.26131,0.21691,0.15133,0.23049,0.27925,0.28317,0.23666
R2,0.035,0.04454,0.07102,0.1265,0.03021,0.03881,0.0379,0.03502,0.03241,0.04144,0.04936,0.05474
R3,0.00655,0.01066,0.01976,0.03992,0.00575,0.00923,0.01067,0.01106,0.00612,0.00989,0.01383,0.01729
RL,0.21684,0.26821,0.37295,0.50121,0.18731,0.23332,0.19758,0.13874,0.20084,0.24933,0.25798,0.21692
RSU,0.0581,0.08579,0.16338,0.28545,0.04362,0.06508,0.04666,0.02269,0.0497,0.07378,0.07227,0.04173
RS,0.0496,0.08092,0.15865,0.28046,0.03701,0.0612,0.04493,0.02202,0.04228,0.06947,0.06971,0.04053


N
R4,0.00743,0.01417,0.01693,0.02738,0.00585,0.01114,0.00777,0.00633,0.00654,0.01247,0.01065,0.01027
RW,0.09803,0.11139,0.1452,0.18773,0.12911,0.14976,0.11624,0.07642,0.11131,0.12763,0.12897,0.1083
R1,0.27233,0.33425,0.44745,0.57114,0.21103,0.26287,0.20875,0.13573,0.23765,0.29415,0.28453,0.21892
R2,0.04911,0.06847,0.09973,0.1488,0.03792,0.05391,0.04634,0.03518,0.04277,0.0603,0.06323,0.05679
R3,0.0157,0.0247,0.03396,0.05344,0.01227,0.01947,0.01569,0.01248,0.01376,0.02176,0.02145,0.0202
RL,0.23048,0.29596,0.40782,0.52848,0.1786,0.23259,0.19015,0.12558,0.20112,0.26035,0.25923,0.20255
RSU,0.07035,0.10612,0.18807,0.31196,0.04279,0.06615,0.04158,0.01847,0.0531,0.08137,0.06795,0.03459
RS,0.06123,0.10097,0.18307,0.30701,0.03694,0.06266,0.04009,0.01794,0.04598,0.0772,0.06563,0.03362


O
R4,0.00396,0.00629,0.01063,0.01983,0.00339,0.0054,0.00525,0.00504,0.00366,0.00581,0.00703,0.00802
RW,0.09996,0.10681,0.13333,0.17535,0.14534,0.15604,0.11979,0.08497,0.11831,0.12672,0.12546,0.11143
R1,0.26109,0.31628,0.41664,0.53725,0.22402,0.27066,0.21799,0.15175,0.24101,0.29159,0.28482,0.23146
R2,0.04484,0.054,0.08063,0.12691,0.03834,0.04627,0.04178,0.03487,0.04132,0.04982,0.05479,0.05375
R3,0.00996,0.01506,0.02417,0.04207,0.00851,0.01293,0.01213,0.01097,0.00918,0.01391,0.01613,0.0173
RL,0.23181,0.28847,0.37881,0.49509,0.19875,0.24667,0.19829,0.13979,0.2139,0.26584,0.25903,0.21325
RSU,0.06682,0.09526,0.16897,0.28121,0.04944,0.07006,0.04673,0.02401,0.05672,0.08063,0.07194,0.04115
RS,0.0581,0.09028,0.16421,0.27632,0.04272,0.0662,0.04498,0.02323,0.04914,0.07628,0.06939,0.03989


P
R4,0.00902,0.01174,0.01593,0.03319,0.00822,0.0101,0.00808,0.00832,0.00859,0.01085,0.01071,0.01327
RW,0.10028,0.1127,0.14322,0.18872,0.15095,0.16488,0.12382,0.08265,0.12027,0.13379,0.13267,0.11463
R1,0.26798,0.3361,0.44573,0.5722,0.23714,0.2879,0.22475,0.14627,0.25132,0.31002,0.29867,0.23256
R2,0.05132,0.06684,0.09196,0.15133,0.04593,0.05748,0.04643,0.03849,0.04842,0.06178,0.06166,0.06125
R3,0.01713,0.02251,0.02996,0.05832,0.01559,0.01941,0.01517,0.01469,0.0163,0.02084,0.02013,0.02343
RL,0.23038,0.30218,0.40235,0.52774,0.20379,0.25874,0.20277,0.13492,0.21601,0.27867,0.26952,0.21451
RSU,0.07328,0.10919,0.18946,0.31471,0.05836,0.08062,0.04898,0.02152,0.06469,0.09262,0.07765,0.03996
RS,0.06455,0.10406,0.18453,0.30979,0.05126,0.07661,0.04728,0.02092,0.05688,0.08812,0.0751,0.03887


R
R4,0.01574,0.01231,0.01636,0.01725,0.01895,0.01176,0.00887,0.00754,0.01682,0.01198,0.01146,0.01035
RW,0.10104,0.10947,0.13655,0.14856,0.16881,0.17413,0.13394,0.11884,0.12444,0.1337,0.13401,0.12796
R1,0.26613,0.32774,0.42169,0.45526,0.26093,0.3047,0.24113,0.21241,0.25927,0.31394,0.30424,0.28133
R2,0.05828,0.06536,0.09001,0.10062,0.05975,0.06161,0.05073,0.04604,0.05795,0.06301,0.06436,0.06144
R3,0.02449,0.02263,0.03039,0.03386,0.0271,0.0216,0.01666,0.01474,0.0252,0.02197,0.02142,0.02017
RL,0.22907,0.2936,0.3846,0.4185,0.22435,0.27301,0.22,0.19551,0.2231,0.28125,0.27755,0.25881
RSU,0.07361,0.10402,0.1768,0.20897,0.07409,0.08969,0.05807,0.04657,0.06932,0.09432,0.08461,0.06878
