ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00265,0.0046,0.00987,0.0,0.00279,0.00238,0.00247,0.0,0.00271,0.00314,0.00395
RW,0.07301,0.08627,0.12907,0.175,0.11323,0.1505,0.11201,0.07476,0.08667,0.10951,0.11976,0.10467
R1,0.12638,0.23714,0.35949,0.49156,0.12835,0.25202,0.18958,0.12786,0.12441,0.24402,0.24804,0.20286
R2,0.01858,0.03625,0.06315,0.09584,0.02063,0.03829,0.0331,0.02457,0.01921,0.0372,0.0434,0.0391
R3,0.00196,0.00817,0.01518,0.02575,0.00246,0.00863,0.00793,0.00652,0.00215,0.00838,0.01041,0.0104
RL,0.11521,0.19884,0.30743,0.42883,0.11531,0.2115,0.16223,0.11154,0.11253,0.20469,0.2122,0.17697
RSU,0.02945,0.05367,0.12127,0.22599,0.03268,0.06054,0.0341,0.01556,0.02868,0.05661,0.0531,0.02909
RS,0.01066,0.04642,0.11206,0.21569,0.01265,0.05244,0.03096,0.01445,0.01089,0.04899,0.0484,0.02706


19
R4,0.00693,0.00845,0.01267,0.01667,0.00664,0.00871,0.00672,0.00422,0.00664,0.00855,0.00875,0.00673
RW,0.12327,0.10886,0.15384,0.20572,0.22361,0.18249,0.13487,0.08874,0.15304,0.13561,0.14324,0.12372
R1,0.23192,0.2845,0.41267,0.54851,0.26615,0.29208,0.22,0.14383,0.23879,0.28693,0.28637,0.22768
R2,0.06782,0.06374,0.096,0.13878,0.08359,0.06577,0.05104,0.03603,0.07102,0.06445,0.0665,0.05716
R3,0.01412,0.02165,0.03212,0.04534,0.01384,0.02247,0.01711,0.01167,0.01372,0.02197,0.02227,0.01855
RL,0.2038,0.24739,0.36661,0.49905,0.23607,0.25312,0.19537,0.13087,0.2101,0.24912,0.25433,0.20716
RSU,0.07558,0.07633,0.15792,0.28139,0.10998,0.08097,0.04545,0.01982,0.07715,0.0773,0.07014,0.03698
RS,0.04676,0.06811,0.14807,0.27101,0.06149,0.07226,0.04188,0.01858,0.04715,0.06897,0.06488,0.03473


2
R4,-,0.00789,0.00908,0.01053,-,0.00887,0.00456,0.00267,-,0.00828,0.00606,0.00425
RW,-,0.08644,0.13062,0.17079,-,0.1543,0.1131,0.07452,-,0.11002,0.12104,0.10358
R1,-,0.21904,0.34351,0.45225,-,0.23905,0.18065,0.12001,-,0.227,0.2365,0.18947
R2,-,0.04064,0.06523,0.0881,-,0.04562,0.03413,0.02313,-,0.04263,0.04476,0.03661
R3,-,0.01421,0.01987,0.02554,-,0.01622,0.01025,0.00661,-,0.01501,0.01351,0.01049
RL,-,0.1929,0.30923,0.41427,-,0.20994,0.16272,0.10987,-,0.19967,0.21299,0.17349
RSU,-,0.04725,0.11416,0.20046,-,0.05612,0.0318,0.01447,-,0.04996,0.04957,0.02694
RS,-,0.04051,0.10526,0.19065,-,0.04808,0.02879,0.0134,-,0.04279,0.04505,0.02499


20
