Method,050,100,200,400
R1,0.34,0.43,0.76,0.78
R2,0.30,0.53,0.85,0.94
R3,0.22,0.47,0.85,0.90
R4,0.16,0.41,0.84,0.88
RSU,0.31,0.48,0.75,0.78
RL,0.39,0.46,0.75,0.78
RW,0.39,0.49,0.78,0.82
RS,0.31,0.48,0.75,0.78
