Method,010,050,100,200
R1,0.07,0.07,0.51,0.47
R2,0.20,0.24,0.82,0.82
R3,0.33,0.38,0.82,0.87
R4,0.15,0.24,0.78,0.82
RSU,0.07,0.02,0.51,0.42
RL,0.07,0.07,0.51,0.51
RW,0.07,0.07,0.56,0.51
RS,0.07,0.07,0.51,0.42
